Compound,CAS,MW,MW_Reference,Expocast,ExpoCast_Reference,Fub,Fub_Reference,Clint,Clint_Reference,pKa_Acceptor,pKa_Acceptor_Reference,pKa_Donor,pKa_Donor_Reference,logKow,logKow_Reference,CNS,CNS_Reference,Neutral_Form,Neutral_Form_Reference,Plasma_Conc_0,Plasma_Conc_10,Plasma_Conc_50,Plasma_Conc_90,logKlipw,logDlipw,IC10_Baseline,AC10,AC10_Top,AC10_HillSlope,AC50,Endpoint_effect,IC10,IC10_Top,IC10_HillSlope,IC50,Endpoint_cytotox,SR,TR
Domiphen bromide,538-71-6,414.472,U.S. EPA CompTox Dashboard,3.26E-07,Wambaugh 2014,0.11,OPERA (0.57),7.06,OPERA (0.57),None,Sipes 2017,None,Sipes 2017,1.99,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,0,1.00E-09,2.1299,1.1299,3.606702924,0.668514939,100,2.357436214,1.030891668,TOX21_CASP3_CHO_viability|TOX21_ERb_BLA_Antagonist_viability|TOX21_PR_BLA_Agonist_viability|TOX21_PXR_viability|TOX21_RT_HEK293_FLO_24hr_viability|TOX21_RT_HEK293_FLO_32hr_viability|TOX21_RT_HEK293_GLO_16hr_viability|TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability|TOX21_RT_HEPG2_GLO_24hr_ctrl_viability|TOX21_TR_LUC_GH3_Antagonist_viability|TOX21_VDR_BLA_antagonist_viability,0.668514939,100,2.357436214,1.030891668,TOX21_CASP3_CHO_viability|TOX21_ERb_BLA_Antagonist_viability|TOX21_PR_BLA_Agonist_viability|TOX21_PXR_viability|TOX21_RT_HEK293_FLO_24hr_viability|TOX21_RT_HEK293_FLO_32hr_viability|TOX21_RT_HEK293_GLO_16hr_viability|TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability|TOX21_RT_HEPG2_GLO_24hr_ctrl_viability|TOX21_TR_LUC_GH3_Antagonist_viability|TOX21_VDR_BLA_antagonist_viability,1,867.3372223
1-Dodecyl-3-methylimidazolium bromide,61546-00-7,331.342,U.S. EPA CompTox Dashboard,1.00E-05,U.S. EPA CompTox Dashboard,0.03,OPERA (0.72),39.31,OPERA (0.44),None,Sipes 2017,None,Sipes 2017,0.24,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,0,1.00E-09,0.3624,-0.6376,5.57705155,5.57705155,100,1,6.53129406,Baseline,5.57705155,100,1,6.53129406,Baseline,1,1
1-Hexyl-3-methylimidazolium bromide,85100-78-3,247.18,U.S. EPA CompTox Dashboard,1.72E-07,Wambaugh 2014,0.33,OPERA (0.35),41.27,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,-1.85,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,0,2.00E-09,-1.7485,-2.7485,9.307356241,0.251073753,44.8767149,1.014899487,1.330816843,TOX21_AR_BLA_Antagonist_viability|TOX21_CAR_Agonist_viabillity|TOX21_CAR_Antagonist_viability|TOX21_PXR_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability,0.251073753,44.8767149,1.014899487,1.330816843,TOX21_AR_BLA_Antagonist_viability|TOX21_CAR_Agonist_viabillity|TOX21_CAR_Antagonist_viability|TOX21_PXR_viability|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability,1,1138367500
"1-Butyl-2,3-dimethylimidazolium bromide",475575-45-2,233.153,U.S. EPA CompTox Dashboard,1.60E-07,Wambaugh 2014,0.71,OPERA (0.36),0,OPERA (0.39),None,Sipes 2017,None,Sipes 2017,-2.64,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.56E-07,2.67E-07,4.18E-07,-2.5464,-3.5464,11.27728931,11.27728931,100,1,12.23153182,Baseline,11.27728931,100,1,12.23153182,Baseline,1,1
1-Ethyl-3-methylmidazolium bromide,65039-08-9,191.072,U.S. EPA CompTox Dashboard,0.000253,U.S. EPA CompTox Dashboard,0.94,OPERA (0.68),11.05,OPERA (0.34),None,Sipes 2017,None,Sipes 2017,-3.19,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.35E-06,1.09E-05,4.39E-05,-3.1019,-4.1019,12.8850223,12.8850223,100,1,13.83926481,Baseline,12.8850223,100,1,13.83926481,Baseline,1,1
Aragonite,14791-73-2,102.102,U.S. EPA CompTox Dashboard,1.53E-06,U.S. EPA CompTox Dashboard,1,OPERA (0.97),0.8,OPERA (0.53),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.91,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,3.11E-07,1.62E-06,4.21E-06,-0.7991,-1.7991,7.398929941,7.398929941,100,1,8.35317245,Baseline,7.398929941,100,1,8.35317245,Baseline,1,1
Fosfomycin calcium,26016-98-8,176.121,U.S. EPA CompTox Dashboard,1.19E-07,Wambaugh 2014,0.99,OPERA (0.98),0,OPERA (0.54),None,Sipes 2017,  6.72;  1.78,Sipes 2017,-2.18,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.61E-07,2.79E-07,4.36E-07,-2.0818,-3.0818,10.08539204,10.08539204,100,1,11.03963455,Baseline,10.08539204,100,1,11.03963455,Baseline,1,1
"C.I. Pigment Red 52, calcium salt (1:1)",17852-99-2,458.88,U.S. EPA CompTox Dashboard,4.57E-05,U.S. EPA CompTox Dashboard,0.01,OPERA (0.77),0,OPERA (0.55),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.02,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.79E-05,2.92E-05,4.48E-05,4.1802,3.1802,2.146424406,2.146424406,100,1,3.100666915,Baseline,2.146424406,100,1,3.100666915,Baseline,1,1
"C.I. Pigment Red 48, calcium salt (1:1)",7023-61-2,458.88,U.S. EPA CompTox Dashboard,7.07E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.77),0,OPERA (0.55),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.96,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,2.76E-07,4.51E-07,6.92E-07,4.1196,3.1196,2.180223141,2.180223141,100,1,3.134465651,Baseline,2.180223141,100,1,3.134465651,Baseline,1,1
Prohexadione-calcium,127277-53-6,250.263,U.S. EPA CompTox Dashboard,5.05E-07,U.S. EPA CompTox Dashboard,0.32,OPERA (0.48),0,OPERA (0.61),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.63,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,4.28E-07,7.16E-07,1.13E-06,0.7563,-0.2437,5.064220282,5.064220282,100,1,6.018462792,Baseline,5.064220282,100,1,6.018462792,Baseline,1,1
Glycerol phosphate calcium salt,58409-70-4,210.135,U.S. EPA CompTox Dashboard,1.75E-07,Wambaugh 2014,0.9,OPERA (0.61),0,OPERA (0.39),None,Sipes 2017,  7.63;  2.39,Sipes 2017,-2.39,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.98E-07,3.41E-07,5.32E-07,-2.2939,-3.2939,10.61333657,10.61333657,100,1,11.56757908,Baseline,10.61333657,100,1,11.56757908,Baseline,1,1
"Methylene, phenyl-",8/4/3101,90.125,U.S. EPA CompTox Dashboard,1.53E-05,U.S. EPA CompTox Dashboard,0.3,OPERA (0.98),3.5,OPERA (0.99),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.61,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.20E-08,8.10E-08,4.32E-07,2.7561,2.7561,2.393427189,2.393427189,100,1,3.347669699,Baseline,2.393427189,100,1,3.347669699,Baseline,1,1
3-Hydroxybenzyl,155174-22-4,107.132,U.S. EPA CompTox Dashboard,1.32E-05,U.S. EPA CompTox Dashboard,0.36,OPERA (0.99),42.3,OPERA (0.79),#NV,ACD/Labs GALAS,10,ACD/Labs GALAS,1.94,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,5.00E-09,3.30E-08,1.86E-07,2.0794,2.0794,2.842505763,2.842505763,100,1,3.796748273,Baseline,2.842505763,100,1,3.796748273,Baseline,1,1
4-Methylbenzyl radical,2348-52-9,105.16,U.S. EPA CompTox Dashboard,2.15E-05,U.S. EPA CompTox Dashboard,0.23,OPERA (0.75),2.9,OPERA (0.76),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.14,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,2.00E-09,1.30E-08,6.60E-08,3.2914,3.2914,2.085647697,2.085647697,100,1,3.039890206,Baseline,2.085647697,100,1,3.039890206,Baseline,1,1
4-Hydroxybenzyl,88170-17-6,107.132,U.S. EPA CompTox Dashboard,1.92E-05,U.S. EPA CompTox Dashboard,0.33,OPERA (0.97),39.62,OPERA (0.94),#NV,ACD/Labs GALAS,10,ACD/Labs GALAS,1.94,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,7.00E-09,4.50E-08,2.56E-07,2.0794,2.0794,2.842505763,2.842505763,100,1,3.796748273,Baseline,2.842505763,100,1,3.796748273,Baseline,1,1
3-Methylbenzyl radical,2348-47-2,105.16,U.S. EPA CompTox Dashboard,1.77E-05,U.S. EPA CompTox Dashboard,0.2,OPERA (0.76),4.22,OPERA (0.63),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.14,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.00E-09,7.00E-09,3.50E-08,3.2914,3.2914,2.085647697,2.085647697,100,1,3.039890206,Baseline,2.085647697,100,1,3.039890206,Baseline,1,1
"Methyl, phenyl-",2154-56-5,91.133,U.S. EPA CompTox Dashboard,1.47E-05,U.S. EPA CompTox Dashboard,0.3,OPERA (0.98),3.5,OPERA (0.99),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.61,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.20E-08,7.70E-08,4.11E-07,2.7561,2.7561,2.393427189,2.393427189,100,1,3.347669699,Baseline,2.393427189,100,1,3.347669699,Baseline,1,1
2-Methylbenzyl radical,2348-48-3,105.16,U.S. EPA CompTox Dashboard,1.37E-05,U.S. EPA CompTox Dashboard,0.23,OPERA (0.75),2.84,OPERA (0.77),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.14,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.00E-09,8.00E-09,4.30E-08,3.2914,3.2914,2.085647697,2.085647697,100,1,3.039890206,Baseline,2.085647697,100,1,3.039890206,Baseline,1,1
2-OH-benzyl,155174-21-3,107.132,U.S. EPA CompTox Dashboard,1.57E-05,U.S. EPA CompTox Dashboard,0.38,OPERA (0.98),27.62,OPERA (0.91),#NV,ACD/Labs GALAS,10,ACD/Labs GALAS,1.94,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.00E-08,6.60E-08,3.61E-07,2.0794,2.0794,2.842505763,2.842505763,100,1,3.796748273,Baseline,2.842505763,100,1,3.796748273,Baseline,1,1
"Ethyl, 2-phenyl-",17203-53-1,105.16,U.S. EPA CompTox Dashboard,1.25E-05,U.S. EPA CompTox Dashboard,0.17,OPERA (0.97),2.01,OPERA (0.92),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.21,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.00E-09,7.00E-09,3.70E-08,3.3621,3.3621,2.047827603,2.047827603,100,1,3.002070113,Baseline,2.047827603,100,1,3.002070113,Baseline,1,1
1-Hexyl radical,2679-29-0,85.17,U.S. EPA CompTox Dashboard,2.67E-06,U.S. EPA CompTox Dashboard,0.19,OPERA (0.96),1.1,OPERA (0.96),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.64,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,0,0,3.00E-09,3.7964,3.7964,1.828850629,1.828850629,100,1,2.783093138,Baseline,1.828850629,100,1,2.783093138,Baseline,1,1
Chlorisondamine chloride,69-27-2,429.03,U.S. EPA CompTox Dashboard,2.89E-07,Wambaugh 2014,0.5,OPERA (0.24),5.54,OPERA (0.48),None,Sipes 2017,None,Sipes 2017,-0.2,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,5.00E-09,2.90E-08,-0.082,-1.082,6.215852238,6.215852238,100,1,7.170094748,Baseline,6.215852238,100,1,7.170094748,Baseline,1,1
"N,N,N,N',N',N'-Hexamethylhexane-1,6-diaminium dichloride",60-25-3,273.29,U.S. EPA CompTox Dashboard,2.03E-06,U.S. EPA CompTox Dashboard,0.53,OPERA (0.34),13.45,OPERA (0.52),None,Sipes 2017,None,Sipes 2017,-5.68,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,5.00E-09,3.00E-08,-5.6168,-6.6168,23.48838018,23.48838018,100,1,24.44262269,Baseline,23.48838018,100,1,24.44262269,Baseline,1,1
Succinylcholine chloride,71-27-2,361.3,U.S. EPA CompTox Dashboard,2.22E-07,Wambaugh 2014,0.7,OPERA (0.96),0,OPERA (0.24),None,Sipes 2017,None,Sipes 2017,-6.77,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.38E-07,2.36E-07,3.71E-07,-6.7177,-7.7177,30.51641002,30.51641002,100,1,31.47065253,Baseline,30.51641002,100,1,31.47065253,Baseline,1,1
Cyclohexylamine hydrochloride,4998-76-9,135.64,U.S. EPA CompTox Dashboard,9.06E-08,Wambaugh 2014,0.75,OPERA (0.48),3.42,OPERA (0.41),10.38,Sipes 2017,None,Sipes 2017,1.4,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,1.20E-08,5.70E-08,1.534,0.534,4.181520631,4.181520631,100,1,5.13576314,Baseline,4.181520631,100,1,5.13576314,Baseline,1,1
1-Benzylquinolinium chloride,15619-48-4,255.75,U.S. EPA CompTox Dashboard,3.44E-08,Wambaugh 2014,0.614333333,Wambaugh 2019,7.276666667,Wambaugh 2019,None,Sipes 2017,None,Sipes 2017,-0.91,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,5.00E-09,-0.7991,-1.7991,7.398929941,0.043681524,100,0.834546496,1.188699679,NVS_GPCR_gMPeripheral_NonSelective|NVS_GPCR_gOpiateK|NVS_GPCR_hM2|NVS_GPCR_hM4|NVS_GPCR_hM5|NVS_GPCR_rAdra1A|NVS_GPCR_rmAdra2B|NVS_IC_rNaCh_site2|NVS_TR_gDAT|NVS_TR_hDAT,1.113216766,2.795459309,2.295356355,2.013540848,ACEA_AR_agonist_AUC_viability|APR_HepG2_CellLoss_72h_dn|APR_HepG2_MicrotubuleCSK_24h_dn|APR_HepG2_MicrotubuleCSK_72h_dn|APR_HepG2_NuclearSize_72h_dn|TOX21_RT_HEK293_GLO_32hr_viability|TOX21_RT_HEK293_GLO_40hr_viability,11.73640917,1930692.792
Tetramethylammonium chloride,75-57-0,109.6,U.S. EPA CompTox Dashboard,5.30E-08,Wambaugh 2014,0.81,OPERA (0.54),3.4,OPERA (0.56),None,Sipes 2017,None,Sipes 2017,-3.15,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,1.10E-08,4.10E-08,-3.0615,-4.0615,12.76085732,12.76085732,100,1,13.71509983,Baseline,12.76085732,100,1,13.71509983,Baseline,1,1
Betaine hydrochloride,590-46-5,153.61,U.S. EPA CompTox Dashboard,1.56E-07,Wambaugh 2014,0.82,OPERA (0.52),6.35,OPERA (0.45),None,Sipes 2017,3.03,Sipes 2017,-3.25,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,1.20E-08,5.10E-08,-3.1625,-4.1625,13.07350363,13.07350363,100,1,14.02774614,Baseline,13.07350363,100,1,14.02774614,Baseline,1,1
(3-Chloro-2-hydroxypropyl)trimethylammonium chloride,3327-22-8,188.09,U.S. EPA CompTox Dashboard,1.29E-07,Wambaugh 2014,0.71,OPERA (0.48),10.98,OPERA (0.46),None,Sipes 2017,None,Sipes 2017,-3.42,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,4.00E-09,1.80E-08,-3.3342,-4.3342,13.62240795,13.62240795,100,1,14.57665046,Baseline,13.62240795,100,1,14.57665046,Baseline,1,1
