Compound,CAS,Frequency_Factor
1-Naphthylamine,134-32-7,0.000804990943851882
"Acetamide, N-(2,3-dimethylphenyl)- (9CI)",134-98-5,0.00570627690459506
2-Naphthalenol,135-19-3,0.0493020493020493
Acetamiprid,135410-20-7,0.672720015964877
"2,3-dihydro-1H-pyrrolizine",13618-87-6,0.00461476725521669
Rasagiline,136236-51-6,0.00246184145741014
"3,4,5-Trihydroxybenzaldehyde",13677-79-7,0.0086658605401048
"4,6-Dichloro-1,3-benzenediol",137-19-9,0.124255065554231
2-(1-Methylethylidene)cyclohexanone,13747-73-4,0.00211140156846974
"N,N-Dimethyl-4-nitrosoaniline",138-89-6,0.00536690085870414
Imidacloprid,138261-41-3,0.0995194233079696
Tripropionin,139-45-7,9.91965082829084e-05
Estragole,140-67-0,0.0131271878646441
Dicrotophos,141-66-2,0.000698463380562762
Thiouracil,141-90-2,0.0767388484183215
Hexanoic acid,142-62-1,0.000499800079968013
Cgp 47645,143030-47-1,0.00238024397500744
"6,7-Dimethoxy-2-methylquinoxaline",143159-04-0,0.0024174053182917
Sinitrodil,143248-63-9,0.000295945546019532
1-Furfurylpyrrole,1438-94-4,0.000404899281303776
"2,2,4-Trimethyl-1,3-pentanediol",144-19-4,0.639762790230174
(3-Methoxyphenyl)methyl prop-2-enoate,144261-46-1,0.00638276653036801
Bis(1-methylethyl) methylphosphonate,1445-75-6,0.323280209804317
alpha-pyrrolidinovalerophenone,14530-33-7,0.00975706889685384
"Methyl 3-amino-5,6-dichloropyrazine-2-carboxylate",1458-18-0,0.0239143486091655
N-(1-Naphthyl)ethylenediamine dihydrochloride,1465-25-4,0.00957510472770796
Diphenhydramine hydrochloride,147-24-0,0.00277117973079968
Thiabendazole,148-79-8,0.00453446191051995
2-Mercaptobenzothiazole,149-30-4,0.0104989501049895
2-Ethylhexanoic acid,149-57-5,0.0040440804772015
Oxymetazoline,1491-59-4,0.00176211453744493
"2,2'-[Ethane-1,2-diylbis(oxy)]diethanethiol",14970-87-7,0.000199024778584934
Tropicamide,1508-75-4,0.00190954773869347
Dimethylbenzylcarbinyl acetate,151-05-3,0.189319413772335
"2,2,2-Trifluoroethyl allyl ether",1524-54-5,0.00440709234395818
"Cyclopentane, methylene-",1528-30-9,0.00241036456764086
"1,3-dihydro-1-(2-hydroxy-5-(trifluoromethyl)phenyl)-5-(trifluoromethyl)-2H-Benzimidazol-2-one",153587-01-0,0.000198807157057654
Thiamethoxam,153719-23-4,0.694049553208773
7H-Perfluoroheptanoic acid,1546-95-8,0.000201999798000202
1-Ethyl-3-methylimidazolium hexafluorophosphate,155371-19-0,0.723355784469097
Chlorotoluron,15545-48-9,0.00149775336994508
"3,6,9,12-Tetraoxahexadecan-1-ol",1559-34-8,0.000202839756592292
"2,4,6-Tribromodiphenyl ether",155999-95-4,0.521474878444084
"(E)-1,2-Dichloroethylene",156-60-5,0.0197685137765031
1-Benzylquinolinium chloride,15619-48-4,0.0117366222399045
Carbofuran,1563-66-2,0.187940406684115
2-Ethyl-3-methylpyrazine,15707-23-0,0.218394248052726
2-Bromo-4'-chloro-2'-(2-fluorobenzoyl)acetanilide,1584-62-9,0.0010082677959266
(Perfluoro-3-methylbutyl)-2-hydroxypropyl acrylate,16083-76-4,0.00751260677163734
Tetrabutylammonium bromide,1643-19-2,0.000312695434646654
Aldoxycarb,1646-88-4,0.00455625990491284
"2,2,2-Trifluoroethanesulfonyl chloride",1648-99-3,0.0257916749651464
3-Hydroxycarbofuran,16655-82-6,0.999600439516532
Benzoclidine,16852-81-6,0.000100070049034324
2-Hydroxy-3-phenoxypropyl prop-2-enoate,16969-10-1,0.228830248129185
Dimetamfetamine,17279-39-9,0.000100140196274785
SIMes,173035-11-5,0.00059494298463064
Clomipramine hydrochloride,17321-77-6,0.429690598968663
"2,2-Bis(trifluoromethyl)propionyl fluoride",1735-87-1,0.055276886035313
6-Methoxy-2-benzothiazolamine,1747-60-0,0.460452543051662
1-Oxaspiro[4.5]decane,176-91-0,0.000909550277918141
Benomyl,17804-35-2,0.000392118419762768
Prothioconazole,178928-70-6,0.025457116880493
"2H-1-Benzopyran-2-one, 8-methyl- (9CI)",1807-36-9,0.000505050505050505
Boschniakine,18070-40-1,0.000100110121133247
Dibutyl phosphite,1809-19-4,9.91375037176564e-05
5-Phenyl-1-pentyne,1823-14-9,0.124480506629725
"5,5'-Oxybis(2-benzofuran-1,3-dione)",1823-59-2,0.00395016712245518
"2,2',3,4,4'-Pentabromodiphenyl ether",182346-21-0,0.19715082685794
Benzene hexabromide,1837-91-8,0.0568524854095391
"2,3,4,5,6,8-Hexachlorodecane",1852481-27-6,0.000297973778307509
1-Isopropoxyhexane,18636-65-2,0.0497880311544908
1-(3-Methoxyphenyl)cyclohexan-1-ol,1884-42-0,0.000981546917942678
BDE-32,189084-60-4,0.0117191480688882
BDE-75,189084-63-7,0.673943804325854
"1,2,3,4,5-Pentabromo-6-phenoxybenzene",189084-65-9,0.000501605136436597
Atrazine,1912-24-9,0.000692041522491349
Oxadiazon,19666-30-9,0.489633655394525
UK-333747,197077-55-7,0.0470740445859873
2-Methylphenethyl alcohol,19819-98-8,0.00299490865528601
"1,2,3,4-Tetrachloronaphthalene",20020-02-4,0.000597847748106815
p-Anisidinium chloride,20265-97-8,0.0554608364256343
"N-(2,4-Dimethylphenyl)acetamide",2050-43-3,0.00122212037885732
Oxibendazole,20559-55-1,0.514851485148515
5-chloro-1H-indole-2-carboxamide,21109-01-3,0.00171440096813231
Perillaldehyde,2111-75-3,0.000303490136570562
2-(Thiocyanomethylthio)benzothiazole,21564-17-0,0.024551558272372
2-Chloroethyl acrylate,2206-89-5,0.000198530871550526
2-Nonen-1-ol,22104-79-6,0.0255404725992961
Molinate,2212-67-1,0.00090293453724605
1-Nitrosoadamantane,22734-10-7,0.00109692859992022
Oxamyl,23135-22-0,0.000910010111223458
2-Methylbenzyl radical,2348-48-3,0.0362651956277454
1-Phenylethyl radical,2348-51-8,0.0065359477124183
2-Octenal,2363-89-5,0.00614713464207813
6-(3-Methyl-2-buten-1-ylamino)purine,2365-40-4,0.00010129659643436
Metrifudil,23707-33-7,0.000100969305331179
"1,1'-Disulfanediyldiazepan-2-one",23847-08-7,0.169702489374621
Articaine hydrochloride,23964-57-0,0.462701511965555
2-Morpholinopyridine,24255-25-2,0.00595118014928384
"1,1-Dimethylpiperidinium chloride",24307-26-4,0.000396235760277365
1-Hexyl-3-methylimidazolium tetrafluoroborate,244193-50-8,0.00397298371076679
"1,2-Benzenedicarboxylic acid, monopentyl ester",24539-56-8,0.000201775625504439
"1,1,3-Trimethyl-2-thiourea",2489-77-2,0.0197734499205087
"1,4-Dibromohexane",25118-28-9,0.000704721634954193
"1,4-Benzothiazine",255-17-4,0.0043663688058489
Benzylacetone,2550-26-7,0.000709651257096513
7:3 Fluorotelomer alcohol,25600-66-2,0.000807591358772461
"Oxacycloundecane-2,11-dione",2561-88-8,0.00140477623921333
"1-Piperidinyloxy, 2,2,6,6-tetramethyl-",2564-83-2,0.000100160256410256
1-Hydroxybenzotriazole,2592-95-2,0.268632761560839
5-Chloro-2-methyl-3(2H)-isothiazolone,26172-55-4,0.0178142514011209
1-Vinylcyclohexene,2622-21-1,0.00010135819987837
"2,6-Nonadienal",26370-28-5,0.00020124773596297
1-Hexyl radical,2679-29-0,0.103024193548387
"thieno[3,2-b]pyridine",272-67-3,0.000301174580865375
"1,3-Benzodithiole",274-30-6,0.0186915887850467
3-phenyl-1H-pyrrole,27649-43-0,0.00050035024517162
6:3 Fluorotelomer carboxylic acid,27854-30-4,0.000698533080530885
5-Chloro-2-methyl-1H-benzimidazole,2818-69-1,0.0212038991056175
"1,3-dithiole",288-74-4,0.000203811270763273
2H-thiopyran,289-72-5,0.000100200400801603
1-(1-methylcyclohexyl)ethanone,2890-62-2,0.00040453074433657
"(2,2,6,6-Tetramethyl-4-oxopiperidin-1-yl)oxidanyl",2896-70-0,0.000893211591901548
2-Isopropoxyaniline,29026-74-2,9.91375037176564e-05
Isobenzan,297-78-9,0.00620750812887969
1-Benzylpyrrolidine,29897-82-3,0.00158243497181288
"1,2-dihydroquinoline",29968-14-7,9.97207818109294e-05
Ethyl 4-oxo-1-piperidinecarboxylate,29976-53-2,0.0701225637934499
Xibenolol,30187-90-7,0.000713630339484147
1-Hexyl-3-methylimidazolium hexafluorophosphate,304680-35-1,0.0055426786254157
Paraoxon,311-45-5,0.552382847477863
3-Methyl-4-(methylthio)phenol,3120-74-9,0.0333366905025682
Cyclobendazole,31431-43-3,0.113781563735929
Piperonal acetone,3160-37-0,0.00416584011108907
"1,2,5,6,9,10-Hexabromocyclododecane",3194-55-6,0.00803252677508925
"1,2,5,6-Tetrabromocyclooctane",3194-57-8,9.92260369120857e-05
"2,4-Dichloro-1-(trifluoromethyl)benzene",320-60-5,0.00148353278607457
"3,5-Dichlorosalicylic acid",320-72-9,0.05
6-Aminonicotinamide,329-89-5,0.0249082068075816
"1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane",3322-93-8,0.690686810456217
Perfluorooctanoic acid,335-67-1,0.0980749746707193
BDE-38,337513-54-9,0.049249901302803
BDE-41,337513-68-5,0.034785208810924
BDE-57,337513-82-3,0.00099601593625498
"o,p'-DDE",3424-82-6,0.247474242272682
5-BROMO-6-METHYLPYRIMIDIN-4-OL,3438-52-6,9.98502246630055e-05
"Ethyl 2-amino-4-(trifluoromethyl)-1,3-thiazole-5-carboxylate",344-72-9,0.125189911880887
"5,6,7,8-Tetrahydroquinoxaline",34413-35-9,0.00662650602409639
2-(Perfluorohexyl)ethanethiol,34451-26-8,0.00198412698412698
"1,3-Propanediol, dinitrate (8CI)(9CI)",3457-90-7,0.000688908571990946
Bromochloroiodomethane,34970-00-8,0.00256278831368529
"1,8-Divinylperfluorooctane",35192-44-0,0.000100694794079146
Indan-5-sulphonamide,35203-93-1,0.000410340582683627
Diflubenzuron,35367-38-5,0.0395643920471576
Imazalil,35554-44-0,0.333400666599333
"1,2-Dibromo-2,4-dicyanobutane",35691-65-7,0.252087475149105
"2,2'-Sulfanediyldiethanethiol",3570-55-6,0.000506175339137477
"1H,3H-Thiazolo(3,4-a)benzimidazole",35766-04-2,0.0311252175693662
"Benzene, 1,1'-(2,2,2-trifluoroethylidene)bis(4-chloro- (9CI)",361-07-9,0.000794360043689802
N-Butylbenzenesulfonamide,3622-84-2,0.00277255173779582
"2,2',3,4'-Tetrachloro-1,1'-biphenyl",36559-22-5,0.0389636273044345
trans-3-Hexenyl acetate,3681-82-1,9.97804829375374e-05
Nonachlor,3734-49-4,0.00405218422613165
Perfluorobutyrylamidine,375-19-9,0.0501639018575544
Perfluoroheptanoic acid,375-85-9,0.0142602495543672
"1,3,5-Tribromo-2-(2,3-dibromophenoxy)benzene",38463-82-0,0.000198747888303687
3-butylcyclohexanone,39178-69-3,0.000200924251557163
Photomirex,39801-14-4,0.0966561139691334
"3H,3H-Perfluoro-2-butanone",400-49-7,0.00502215657311669
Nitroxoline,4008-48-4,0.0681182580902917
"alpha,alpha,alpha-Trifluoro-3,5-dinitrotoluene",401-99-0,9.84639621898385e-05
"(2,4,6-Trioxo-1,3,5-triazinane-1,3,5-triyl)triethane-2,1-diyl trisprop-2-enoate",40220-08-4,0.107906514172054
Diethylene glycol diacrylate,4074-88-8,0.0276595744680851
"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]",41481-66-7,0.115173856730099
"s-Triazine, 2,4-bis(ethylamino)-",4150-59-8,0.000703164239075841
N-Ethylperfluorooctanesulfonamide,4151-50-2,0.000201045436268597
(E)-Anethole,4180-23-8,0.000152068126520681
"Carbamic acid, (acetyloxy)phenyl-, 1-methylethyl ester (9CI)",4212-94-6,0.00148868598650258
2-Propylfuran,4229-91-8,0.0326824254881809
1-Benzylimidazole,4238-71-5,0.00232018561484919
Difenzoquat metilsulfate,43222-48-6,0.00668698987117711
MEHP,4376-20-9,0.24049863180298
(N-6)-Methyladenine,443-72-1,0.00554491380179454
Erucin,4430-36-8,0.0029263370332997
"4'-Chloro-2',5'-dimethoxyacetoacetanilide",4433-79-8,0.00168034002174558
BDE-23,446254-16-6,0.0839217268509179
BDE-44,446254-20-2,0.148399803052683
BDE-45,446254-21-3,0.0765730114760586
BDE-46,446254-22-4,0.00793021411578113
BDE-50,446254-23-5,0.00010129659643436
BDE-53,446254-25-7,0.0238307129437358
BDE-58,446254-29-1,0.042790978654853
BDE-60,446254-31-5,0.000302632906284677
BDE-63,446254-34-8,0.000199880071956826
BDE-64,446254-35-9,0.00156847367905107
"2,4-Dibromo-1-(3,5-dibromophenoxy)benzene",446254-38-2,0.0236870206776041
BDE-74,446254-42-8,0.0345686391711496
BDE-78,446254-45-1,0.518195339613287
BDE-86,446254-53-1,0.0119012198750372
BDE-88,446254-55-3,0.0160762131586782
BDE-89,446254-56-4,0.16140739993951
BDE-91,446254-58-6,0.00179694519317161
"1,2,4,5-Tetrabromo-3-(2-bromophenoxy)benzene",446254-60-0,0.0102051126604021
BDE-102,446254-66-6,0.000896146569750075
BDE-106,446254-69-9,0.000151837230488916
BDE-114,446254-77-9,0.154967548676985
BDE-115,446254-78-0,0.135560907084086
o-(Trifluoromethyl)benzaldehyde,447-61-0,0.00787323101455053
2-Methylhexanoic acid,4536-23-6,0.000599340725202278
(Trifluoromethoxy)benzene,456-55-3,0.116839536302624
"Pyrimidine, 2-bromo-",4595-60-2,0.00468827930174564
1-Methyl-3-hexylimidazolium trifluoromethylsulfonate,460345-16-8,0.011801730920535
(+)-Borneol,464-43-7,0.253898877520612
[(1S)-endo]-(-)-Borneol,464-45-9,0.975057368053477
(1S)-(-)-Camphor,464-48-2,0.518868854074293
Benzyl selenocyanate,4671-93-6,0.00389260405230063
"3,4-Dihydroisocoumarin",4702-34-5,0.00180523518202788
"Ethanone, 1-(2,4,6-trihydroxyphenyl)-",480-66-0,0.000202552157180474
Dictamnine,484-29-7,0.00190228273928714
"4H-1-Benzopyran-4-one, 2,3-dihydro-",491-37-2,0.00277888050813815
4-Hydroxy-2-quinolinecarboxylic acid,492-27-3,0.000695203098619525
"1,4-Benzodioxin, 2,3-dihydro-",493-09-4,0.000596006754743221
"3,4-Diaminotoluene",496-72-0,0.0020939276099312
"6-(bromomethyl)-3,4-dihydro-2H-1,5-benzodioxepine",499770-96-6,0.00509439616421936
6-Mercaptopurine,50-44-2,0.277839363095838
4-(Diglycidylamino)phenyl glycidyl ether,5026-74-4,0.00121187638860836
"(+)-2,5-Dimethoxy-4-ethylamphetamine hydrochloride",50505-91-4,0.00617471403988258
"S-(+)-2,5-Dimethoxy-4-bromoamphetamine hydrochloride",50505-93-6,0.122878818127371
Guanabenz,5051-62-7,0.000202901491325961
t-Butylchloride,507-20-0,0.000198196412644931
6-Propyl-2-thiouracil,51-52-5,0.157918282135401
cis-Chlordane,5103-71-9,0.000392464678178964
trans-Chlordane,5103-74-2,0.00553709856035438
4-Chlorosalicylic acid,5106-98-9,0.00232487617507328
"1-Propene, 2,3-dibromo-",513-31-5,0.0732741219216795
"4-Chloro-1,3-diaminobenzene",5131-60-2,0.024954351795496
Thidiazuron,51707-55-2,0.0979844342446617
Picobenzide,51832-87-2,9.94629003381739e-05
2-(Piperidin-1-yl)pyrimidine,51957-36-9,9.91080277502478e-05
"2,3-Dimethylphenol",526-75-0,0.290601690701144
Duroquinone,527-17-3,0.000301174580865375
Durohydroquinone,527-18-4,0.0169028340080972
Hydroxyflutamide,52806-53-8,0.0241454689984102
3-(4-chlorophenyl)butanoic acid,5292-23-9,0.0039296591020729
Estrone,53-16-7,0.00030309153364316
"1-(2-Chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane",53-19-0,0.486288297338021
Benzidine dihydrochloride,531-85-1,0.0002000400080016
2-Aminodiphenylamine,534-85-0,0.00151423379769836
N-Acetyl-m-toluidine,537-92-8,0.295456795011383
"Bis(2,2,2-trifluoroethyl)sulfite",53749-89-6,0.00208996815286624
"Ethyl 4-(5-chloro-2,3-dihydro-2-oxo-1h-benzimidazol-2-yl)piperidine-1-carboxylate",53786-46-2,0.0181488203266788
"Butane, 1-iodo-",542-69-8,0.00200803212851406
Mabuterol hydrochloride,54240-36-7,0.000100928542591845
3-(Trifluoromethyl)-o-toluidine,54396-44-0,0.000100633994163228
"1,2,3-Trichlorodibenzo-p-dioxin",54536-17-3,0.00198807157057654
2-Nitroadamantane,54564-31-7,0.00584206285253828
Conessine,546-06-5,0.0054294175715696
Fluvoxamine,54739-18-3,0.00295101318119221
"Bis(2,3-epoxypropyl) cyclohexane-1,2-dicarboxylate",5493-45-8,0.0252520211597964
3-Methyl-5-phenylpentanal,55066-49-4,0.262046400951814
"1(3H)-Isobenzofuranone, 3-butylidene-",551-08-6,0.000804748013278342
Thymol iodide,552-22-7,0.00301083902047371
Triadimenol,55219-65-3,0.0371243370654095
Praziquantel,55268-74-1,0.0190268556139134
C.I. Disperse Orange 61,55281-26-0,0.00624424198996827
1-Cyclohexyl-2-methyl-2-propanol,5531-30-6,0.0816856401038546
Tiliquinol,5541-67-3,0.000201045436268597
"2-Chloro-N,N-bis(2-chloroethyl)ethanamine",555-77-1,0.116028225806452
Cantharidin,56-25-7,0.774765796292605
4-Methyl-1H-pyrazole hydrochloride,56010-88-9,0.0004004004004004
9-Cyclopropylnonanoic acid,5617-97-0,0.000100090081072966
"5,5-Diphenylhydantoin",57-41-0,0.284757621189405
Chlordane,57-74-9,0.000201551950015116
Isamoxole,57067-46-6,0.000612682528336567
"2,3,4,7,8-Pentachlorodibenzofuran",57117-31-4,0.0512430238457636
1-Ethoxyhexane,5756-43-4,0.0662265109192483
Duryl aldehyde,5779-72-6,0.000201877460381548
Pyrimethamine,58-14-0,0.00060560181680545
Theophylline,58-55-9,0.0277694536010389
"2,3,4,6-Tetrachlorophenol",58-90-2,0.00686053655539627
Ethyl 3-aminobenzoate,582-33-2,0.0001998001998002
2-Mercaptobenzimidazole,583-39-1,0.0034996500349965
Allethrin,584-79-2,0.0740118577075099
4-Chloro-3-methylphenol,59-50-7,0.580440388811744
N-Nitrosomorpholine,59-89-2,0.0219868885526979
Terbacil,5902-51-2,0.00795248641030803
2-<U+200B>Hexene,592-43-8,0.000100421771440048
Dichloroiodomethane,594-04-7,0.0172447772960189
2-Chloro-2-nitropropane,594-71-8,0.00981896287204664
"1-[(1R,3S)-1,2,2,3-Tetramethylcyclopentyl]ethan-1-one",59642-07-8,0.00276488594845463
Cirazoline,59939-16-1,0.000596184419713832
Dieldrin,60-57-1,0.973070202487409
2-(Bromomethyl)pyrazine,60023-35-0,9.82318271119843e-05
"1,8-Dinitronaphthalene",602-38-0,0.0765387689848122
"2,2',4,4',5-Pentabromodiphenyl ether",60348-60-9,0.0219341974077767
5-Nitroquinoline,607-34-1,0.00070635721493441
"2H-1-Benzopyran-2-one, 4-methyl- (9CI)",607-71-6,0.00191590198648785
3-Indoxyl acetate,608-08-2,0.0616873299062595
Methylene blue,61-73-4,0.00469483568075117
"3,4-Dinitrotoluene",610-39-9,0.145083932853717
"Acetic acid, 2-nitrophenyl ester",610-69-5,0.000200863713970071
"Benzenepropanenitrile, .beta.-oxo-",614-16-4,9.91866693116445e-05
5-Methylindole,614-96-0,0.0042443983812062
Carmofur,61422-45-5,0.284375311596371
1-Methyl-3-octylimidazolium bromide,61545-99-1,0.00010088781275222
Voriconazole N-Oxide,618109-05-0,0.00214570348421375
Deethylatrazine,6190-65-4,0.29949545913219
4-Nitrobenzoic acid,62-23-7,0.190215770110371
Piragliatin,625114-41-2,0.00999795960008161
"1,5-Hexadiene, 2,5-dimethyl-",627-58-7,0.0107784431137725
"Butane, 1-methoxy-",628-28-4,0.000198906016907011
1-methoxyheptane,629-32-3,0.000496919101570264
"6,7-Dimethoxyquinoxaline",6295-29-0,0.000200843542880096
"1,1,1,2-Tetrabromoethane",630-16-0,0.412559148264984
"Benzaldehyde, 2,3-dichloro-",6334-18-5,0.000101512536798295
Proguanil hydrochloride,637-32-1,0.00120663650075415
Propenylbenzene,637-50-3,0.00299760191846523
"Formanilide, thio-",637-51-4,0.00673231511254019
Thioacetanilide,637-53-6,0.00603682463024449
Ammonium nonanoate,63718-65-0,9.99000999000999e-05
Nafimidone,64212-22-2,0.0129611166500499
6:2 Fluorotelomer alcohol,647-42-7,0.000601926163723917
Naftifine hydrochloride,65473-14-5,0.0211450229403551
"2',3,4,4',5-Pentachlorobiphenyl",65510-44-3,0.000894276629570747
Esfenvalerate,66230-04-4,0.0484353199122982
6-Hydroxyflavone,6665-83-4,0.000505305709954523
Tralomethrin,66841-25-6,9.91178511249876e-05
"1H-Pyrazole, 4-(phenylmethyl)-",66948-38-7,0.0401712887438825
Perfluorosuberic acid,678-45-5,0.0209230153168485
nitro benzoate,6786-32-9,0.000903161063723031
Hydroxytyrosol acetate,69039-02-7,0.000691085003455425
"2,6-Dihydroxyacetophenone",699-83-2,0.00193482688391039
"1-(1-naphthyl)-2,5-pyrrolidinedione",69971-89-7,9.9930048965724e-05
Ticlatone,70-10-0,0.00690635791184237
"1-Fluoro-2,4-dinitrobenzene",70-34-8,0.291429731925264
6-Nitro-m-cresol,700-38-9,0.0128578603716725
"2,3',4',5'-Tetrachlorobiphenyl",70362-48-0,0.0632973988725151
gamma-Decanolactone,706-14-9,0.0530587399817389
MON-4660,71526-07-3,0.056393641794067
7-Methoxybenzofuran,7168-85-6,0.000791217485906439
"p,p'-DDD",72-54-8,0.00582888757162616
1-(1-Pyrrolidinylmethyl)-2-naphthol,75098-56-5,0.0542885973763875
"(3,5,6-Trimethylpyrazin-2-yl)methanol",75907-74-3,0.00628930817610063
Camphor,76-22-2,0.00662451068955134
3-Methylbut-3-en-1-ol,763-32-6,0.151893714059092
"1,3,8-Trichlorodibenzofuran",76621-12-0,0.000397614314115308
Carbromal,77-65-6,0.00119892097112599
Riboprine,7724-76-7,0.0487389911929544
Stilonium iodide,77257-42-2,0.0997411905235915
3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone,77439-76-0,0.00912463651860022
Tris(2-butoxyethyl) phosphate,78-51-3,0.0313407429658556
Isophorone,78-59-1,0.722643013753239
Linalool,78-70-6,0.00039852545581349
Pentabromoacetone,79-49-2,0.000100361300682457
Dapsone,80-08-0,0.000151331719128329
DL-Verbenone,80-57-9,0.000608395862908132
Perfluoro-4-isopropoxybutanoic acid,801212-59-9,9.96710854181202e-05
Imazapyr,81334-34-1,0.413587121595626
Imazethapyr,81335-77-5,0.0401482396541075
Clomazone,81777-89-1,0.446329913180742
2-Nonanone,821-55-6,0.00138080678567906
4-Methyloxybenzyl chloride,824-94-2,0.00010126582278481
"3H-1,2-Dithiol-3-one, 5-phenyl-",827-42-9,0.00248731469505522
3-(Perfluorobutyl)-1-propanol,83310-97-8,0.00040371417036738
"1,2,3,4,6-Pentachlorodibenzofuran",83704-47-6,0.193685060022193
"4,4'-Diamino-3,3'-dimethyldiphenylmethane",838-88-0,0.052088652844449
2-Ethyl-3-hydroxy-4H-pyran-4-thione,84642-58-0,9.98103603154007e-05
1-Hexyl-3-methylimidazolium bromide,85100-78-3,0.253926963481741
Perfluoro(4-methoxybutanoic) acid,863090-89-5,0.000910746812386157
N-Methyl-2-pyrrolidone,872-50-4,0.114604058893753
Cyclopropylbenzene,873-49-4,0.00141100584559565
p-Toluoyl chloride,874-60-2,0.0104554136925706
Tralkoxydim,87820-88-0,0.318286457812031
"2,2'-Methylenebis(ethyl-6-tert-butylphenol)",88-24-4,0.0177043375627029
"Benzoic acid, 2-iodo-",88-67-5,0.000199302441454908
Dipiperidinomethane,880-09-1,0.000300390507659958
2-Ethylphenol,90-00-6,0.0461967343687774
1-Naphthol,90-15-3,0.0227900552486188
2-Phenylphenol,90-43-7,0.105829596412556
Bicalutamide,90357-06-5,0.687298387096774
2-Naphthylamine,91-59-8,0.127887211278872
