Compound,CAS,Frequency_Factor
3-Hydroxycarbofuran,16655-82-6,0.650769695140356
Rimonabant,168273-06-1,0.106549067315491
Clomipramine hydrochloride,17321-77-6,0.0133048953889905
6-Methoxy-2-benzothiazolamine,1747-60-0,0.001230012300123
"2-Bromo-4,6-dinitroaniline",1817-73-8,0.00199123855037834
Atrazine,1912-24-9,0.00423771566945818
Oxadiazon,19666-30-9,0.368225612203934
Diiodomethyl 4-methylphenyl sulfone,20018-09-1,0.0296765258680384
4-Chloroaniline hydrochloride,20265-96-7,0.0286117267781584
"4,4'-Dibromodiphenyl ether",2050-47-7,0.0164215192423937
2-(Thiocyanomethylthio)benzothiazole,21564-17-0,0.018605113919013
Cyanazine,21725-46-2,0.000296912114014252
Molinate,2212-67-1,0.026792828685259
"1,5-Naphthalenediamine",2243-62-1,0.126094394686525
Oxamyl,23135-22-0,0.000202963263649279
"1,1-Dimethylpiperidinium chloride",24307-26-4,0.000501907247540655
1-Hexyl-3-methylimidazolium tetrafluoroborate,244193-50-8,0.0445746053807207
1-Hydroxybenzotriazole,2592-95-2,0.290882061446977
5-Chloro-2-methyl-3(2H)-isothiazolone,26172-55-4,0.263157894736842
Ethyl 4-oxo-1-piperidinecarboxylate,29976-53-2,0.302555400279497
Aldrin,309-00-2,0.000299790146897172
Paraoxon,311-45-5,0.81110888309605
C.I. Solvent Orange 7,3118-97-6,0.0163141993957704
3-Methyl-4-(methylthio)phenol,3120-74-9,0.000100250626566416
Cyclobendazole,31431-43-3,0.00256178420735383
"1,2,5,6,9,10-Hexabromocyclododecane",3194-55-6,0.25346218989738
6-Aminonicotinamide,329-89-5,0.101407326080447
"1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane",3322-93-8,0.00161518271754492
Perfluorooctanoic acid,335-67-1,0.0862068965517242
"o,p'-DDE",3424-82-6,0.000506790999391851
"5,6,7,8-Tetrahydroquinoxaline",34413-35-9,0.00852105778648384
Diflubenzuron,35367-38-5,0.000198826921165126
Imazalil,35554-44-0,0.0014950662812718
"1,2-Dibromo-2,4-dicyanobutane",35691-65-7,0.00172117039586919
Brucine,357-57-3,0.000296530592072749
N-Butylbenzenesulfonamide,3622-84-2,0.794387001477105
Perfluoroheptanoic acid,375-85-9,0.00672690763052209
"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]",41481-66-7,0.0607135817070767
N-Ethylperfluorooctanesulfonamide,4151-50-2,0.000101153145862836
Oxyfluorfen,42874-03-3,0.00474495848161329
Difenzoquat metilsulfate,43222-48-6,0.0246384039900249
MEHP,4376-20-9,0.0495735072754641
(N-6)-Methyladenine,443-72-1,0.108938271604938
2-Chloropropyldimethylamine hydrochloride,4584-49-0,0.000199362041467305
Isodrin,465-73-6,0.0014998500149985
"3,4-Diaminotoluene",496-72-0,0.00259688373951258
6-Mercaptopurine,50-44-2,0.0017032361486825
Guanabenz,5051-62-7,0.00297117955828464
6-Propyl-2-thiouracil,51-52-5,0.205709657825471
Thidiazuron,51707-55-2,0.0244417622208811
Bronopol,52-51-7,0.0672481996145654
Hydroxyflutamide,52806-53-8,0.170963229416467
Estrone,53-16-7,0.00344997535731888
"1-(2-Chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane",53-19-0,0.640897755610973
Dexchlorpheniramine hydrochloride,5502-69-2,0.00111234705228031
Triadimenol,55219-65-3,0.143462469733656
Cantharidin,56-25-7,0.0174470623322398
Chlorotrianisene,569-57-3,0.00762829403606103
Theophylline,58-55-9,0.00208106233277178
Lindane,58-89-9,0.11385047103628
"2,3,4,6-Tetrachlorophenol",58-90-2,0.00260808506369746
Allethrin,584-79-2,0.000390396252195979
4-Chloro-3-methylphenol,59-50-7,0.228892681457685
N-Nitrosomorpholine,59-89-2,0.431856985035653
"3,5-Dimethylpyridine",591-22-0,0.0939751801441153
2-Chloro-2-nitropropane,594-71-8,0.0429796569605106
Dieldrin,60-57-1,0.868868670886076
"1,8-Dinitronaphthalene",602-38-0,0.0217908082408875
"2,2',4,4',5-Pentabromodiphenyl ether",60348-60-9,0.389650685617055
"2-Methyl-1,3-benzenediol",608-25-3,0.000598712767549768
Methylene blue,61-73-4,0.00175849941383353
"3,4-Dinitrotoluene",610-39-9,0.0336653386454183
Deethylatrazine,6190-65-4,0.683605565638234
4-Nitrobenzoic acid,62-23-7,0.000151584053357587
"5,5-Dimethyl-3-(alpha,alpha,alpha-trifluoro-4-nitro-m-tolyl)hydantoin",63612-50-0,0.0072658505026376
Naftifine hydrochloride,65473-14-5,0.018748726309354
"1,3-Diiminobenz(f)isoindoline",65558-69-2,0.000600871263331831
Esfenvalerate,66230-04-4,0.645204081632653
"1-Fluoro-2,4-dinitrobenzene",70-34-8,0.104698519916559
gamma-Decanolactone,706-14-9,0.000150285542530809
Endrin,72-20-8,0.0525737131434283
"p,p'-DDD",72-54-8,0.0154459392127554
3-Methylbut-3-en-1-ol,763-32-6,0.0300290939318371
Riboprine,7724-76-7,0.000399361022364217
3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone,77439-76-0,0.00225903614457831
Dibutyl butylphosphonate,78-46-6,0.0610267678785457
Isophorone,78-59-1,0.4474
Triphenylphosphine oxide,791-28-6,0.00178129638792677
Dapsone,80-08-0,0.0567901234567901
Quinalizarin,81-61-8,0.00717202908656241
"1H-Benzo[de]isoquinoline-1,3(2H)-dione",81-83-4,0.06566924389999
Imazapyr,81334-34-1,0.722768304914744
Imazethapyr,81335-77-5,0.0715764566696244
Clomazone,81777-89-1,0.00359604435121367
meso-Hexestrol,84-16-2,0.0328430384847874
C.I. Solvent Yellow 14,842-07-9,0.376093004769475
N-Methyl-2-pyrrolidone,872-50-4,0.981878253904686
Tralkoxydim,87820-88-0,0.00469389793268751
"2,2'-Methylenebis(ethyl-6-tert-butylphenol)",88-24-4,0.853282626100881
1-Naphthol,90-15-3,0.000199441563621859
2-Phenylphenol,90-43-7,1
Bicalutamide,90357-06-5,0.850471036279816
"6-Phenyl-1,3,5-triazine-2,4-diamine",91-76-9,0.0294384514568001
5-Nitro-2-furanmethanediol diacetate,92-55-7,0.00141143260409315
Phenothiazine,92-84-2,0.0027176648213387
"2,4-Dichlorophenoxybutyric acid",94-82-6,0.00299730242781497
Benzothiazole,95-16-9,0.00790033424491036
4-Chloro-2-methylaniline,95-69-2,0.00111234705228031
Iopanoic acid,96-83-3,0.100737345555998
Diazoxon,962-58-3,0.0432617491441021
Eugenol,97-53-0,0.0601740696278511
Tetramethylthiuram monosulfide,97-74-5,0.019261161596207
3-(Trifluoromethyl)aniline,98-16-8,0.00475482912332838
4-Chlorophenyl methyl sulfone,98-57-7,0.929205324727713
3-Dimethylaminophenol,99-07-0,0.845137207425343
"1,3-Dinitrobenzene",99-65-0,0.0989784786273927
