Name,CAS,Conc,Effecti,AC10µM,pi,Endpoint(s)
Chlorisondamine chloride,69-27-2,0.000391738,2.38E-09,1643812.347,5.83E-07,Baseline
Cyclohexylamine hydrochloride,4998-76-9,0.000940172,6.19E-07,15188.70093,1.40E-06,Baseline
Tetramethylammonium chloride,75-57-0,0.000861824,1.49E-15,5.76577E+12,1.28E-06,Baseline
(3-Chloro-2-hydroxypropyl)trimethylammonium chloride,3327-22-8,0.000313391,7.48E-17,4.19187E+13,4.66E-07,Baseline
Benzyltrimethylammonium chloride,56-93-9,0.000470086,2.09E-12,2253138635,6.99E-07,Baseline
Glycidyl trimethylammonium chloride,3033-77-0,0.008931631,1.30E-13,6.88155E+11,1.33E-05,Baseline
Chlormequat chloride,999-81-5,0,0,8.56741E+14,0,Baseline
2-(Dimethylamino)ethyl acrylate methochloride,44992-01-0,0.019900301,9.27E-16,2.14737E+14,2.96E-05,Baseline
Diallyldimethylammonium chloride,7398-69-8,0.000235043,9.71E-14,24201095844,3.50E-07,Baseline
Pralidoxime chloride,51-15-0,0.001488605,5.59E-15,2.66345E+12,2.21E-06,Baseline
Cyperquat chloride,39794-99-5,0.144159664,8.31E-09,173454609.3,0.00021438,Baseline
1-Allyl-3-methylimidazolium chloride,65039-10-3,0.000940172,7.00E-15,1.34296E+12,1.40E-06,Baseline
1-(2-Hydroxyethyl)-3-methylimidazolium chloride,61755-34-8,0.000391738,1.17E-16,3.34133E+13,5.83E-07,Baseline
(2-(Methacryloyloxy)ethyl)trimethylammonium chloride,5039-78-1,7.83E-05,4.15E-16,1.88742E+12,1.17E-07,Baseline
Pranolium chloride,42879-47-0,0.000235043,8.89E-12,264351924.3,3.50E-07,Baseline
Methacholine chloride,62-51-1,0.000156695,9.17E-17,1.70861E+13,2.33E-07,Baseline
"N,N-Diethyl-N-methylethanaminium chloride",10052-47-8,0.000391738,3.57E-15,1.09704E+12,5.83E-07,Baseline
Tetraethylammonium chloride,56-34-8,0.000705129,1.42E-14,4.95533E+11,1.05E-06,Baseline
1-Methyl-1-propylpyrrolidinium chloride,528818-82-8,0.005797726,3.70E-13,1.56859E+11,8.62E-06,Baseline
1-Butyl-1-methylpyrrolidinium chloride,479500-35-1,0.000235043,8.64E-14,27190096345,3.50E-07,Baseline
1-Butyl-4-methylpyridinium chloride,112400-86-9,0.007207983,6.27E-13,1.14949E+11,1.07E-05,Baseline
1-Butyl-3-methylpyridinium chloride,125652-55-3,0.345826497,3.01E-11,1.14949E+11,0.000514278,Baseline
N-Butylpyridinium chloride,1124-64-7,0.000235043,5.06E-15,4.64251E+11,3.50E-07,Baseline
1-Butyl-2-methylpyridinium chloride,112400-85-8,0.006737897,5.86E-13,1.14949E+11,1.00E-05,Baseline
Benzyldimethyloctylammonium chloride,959-55-7,0.07544878,8.25E-07,914262.8782,0.0001122,Baseline
1-Hexyl-3-methylimidazolium chloride,171058-17-6,0,0,2029346659,0,Baseline
1-Butyl-3-methylimidazolium chloride,79917-90-1,7.83E-05,9.33E-16,8.39603E+11,1.17E-07,Baseline
"1-Butyl-2,3-dimethylimidazolium chloride",98892-75-2,0.022094035,1.17E-12,1.8936E+11,3.29E-05,Baseline
1-Ethyl-3-methylimidazolium chloride,65039-09-0,0.000391738,5.10E-16,7.67401E+12,5.83E-07,Baseline
Chloroallyl methenamine chloride,51229-78-8,0.212635504,0.000124046,17141.62564,0.00031621,Baseline
Carpronium chloride,13254-33-6,0.02162395,5.56E-15,3.88598E+13,3.22E-05,Baseline
beta-Cyclodextrin,7585-39-9,0,0,9.66E+22,0,Baseline
Heptachlor epoxide A,28044-83-9,0.012222232,0.009451931,12.93093719,1.82E-05,Baseline
Strychnine,57-24-9,7.83E-05,1.93E-07,4065.072757,1.17E-07,Baseline
trans-Chlordane,5103-74-2,0.010890322,0.01137639,9.572739939,1.62E-05,Baseline
"alpha,beta-Thujone",76231-76-0,0,0,744.1371041,0,Baseline
Hexahydro-4-methylphthalic anhydride,19438-60-9,0.008539893,1.23E-05,6923.792008,1.27E-05,Baseline
Sparteine,90-39-1,0.000548434,7.62E-06,719.6424461,8.16E-07,Baseline
Alphate,2157-98-4,0.003917382,2.60E-07,150745.2143,5.83E-06,Baseline
2-Nitroadamantane,54564-31-7,0,0,236.4098058,0,Baseline
2-Aminoadamantane,13074-39-0,0.000470086,1.89E-06,2483.401341,6.99E-07,Baseline
1-Adamantanecarboxamide,5511-18-2,7.83E-05,1.29E-06,609.590916,1.17E-07,Baseline
1-Nitrosoadamantane,22734-10-7,0,0,136.5243257,0,Baseline
"Piperazine, 1-(1-adamantyl)-",19984-46-4,7.83E-05,8.74E-07,896.2940189,1.17E-07,Baseline
4-(1-Adamantyl)-3-thiosemicarbazide,52662-65-4,0,0,571.1013446,0,Baseline
1-Adamantanesulfamoyl azide,33713-04-1,0.001645301,2.53E-05,651.0811876,2.45E-06,Baseline
"Tricyclo(3.3.1.13,7)dec-1-ylmethylamine",17768-41-1,7.83E-05,9.51E-07,824.0843796,1.17E-07,Baseline
3-(1-aminoethyl)adamantan-1-ol,90812-24-1,0.000391738,1.62E-07,24238.99627,5.83E-07,Baseline
"1,4-Epoxycyclohexane",279-49-2,0.044736504,6.32E-05,7079.230675,6.65E-05,Baseline
Bicyclo(2.2.1)heptane-1-carboxylic acid,18720-30-4,0.290591409,0.0003131,9281.103655,0.000432138,Baseline
"(3,3-Dimethyl-2-oxabicyclo[2.2.2]octan-1-yl)methanol",135521-14-1,0.000940172,8.48E-06,1108.539277,1.40E-06,Baseline
norbornyl amine,21245-51-2,0.002428777,1.00E-06,24238.99627,3.61E-06,Baseline
1-Azabicyclo[3.3.1]nonane,280-77-3,0.26794894,0.001556637,1721.332418,0.000398467,Baseline
1-Azabicyclo[3.2.1]octane,279-92-5,0.37497182,0.000184223,20354.27833,0.00055762,Baseline
1-Azabicyclo[2.2.2]octan-2-amine,195311-06-9,0.291609928,1.31E-05,222982.7669,0.000433653,Baseline
"1,2-Diazabicyclo(2.2.2)octane",329-94-2,0.804630296,1.20E-05,670188.0669,0.001196565,Baseline
"3,7-Diazabicyclo(3.3.1)nonane",280-74-0,0.011047018,1.63E-07,676564.0557,1.64E-05,Baseline
3-Thia-7-azabicyclo[3.3.1]nonane,329-95-3,0.008069807,1.65E-06,48894.76169,1.20E-05,Baseline
Dimethyl(2-phenoxyethyl)-2-thenylammonium iodide,109732-56-1,0.0615029,3.56E-08,17284258.54,9.15E-05,Baseline
1-Ethyl-1-methylpyrrolidinium iodide,4186-68-9,0.000626781,2.41E-14,2.59953E+11,9.32E-07,Baseline
1-Ethylpyridinium iodide,872-90-2,0.000783476,7.11E-16,1.10129E+13,1.17E-06,Baseline
1-Methyl-1-propylpyrrolidinium iodide,56511-19-4,0.003290601,2.10E-13,1.56859E+11,4.89E-06,Baseline
1-Methyl-1-propylpiperidinium iodide,17874-63-4,0.00133191,4.54E-12,2933048045,1.98E-06,Baseline
1-Butyl-1-methylpyrrolidinium iodide,56511-17-2,0.00564103,2.07E-12,27190096345,8.39E-06,Baseline
1-Butyl-4-methylpyridinium iodide,32353-64-3,0.123397538,1.07E-11,1.14949E+11,0.000183504,Baseline
1-Butyl-3-methylpyridinium iodide,258273-67-5,0.252201064,2.19E-11,1.14949E+11,0.000375048,Baseline
1-Butylpyridinium iodide,874-81-7,0.133426036,2.87E-12,4.64251E+11,0.000198418,Baseline
1-Butyl-2-methylpyridinium iodide,13311-31-4,0.003917382,3.41E-13,1.14949E+11,5.83E-06,Baseline
1-Hexylpyridinium iodide,7324-00-7,0.000156695,5.63E-13,2781657120,2.33E-07,Baseline
1-Hexyl-3-methylimidazolium iodide,178631-05-5,0,0,2029346659,0,Baseline
1-Butyl-3-methylimidazolium iodide,65039-05-6,0.100520026,1.20E-12,8.39603E+11,0.000149483,Baseline
1-Methyl-3-propylimidazolium iodide,119171-18-5,0.000391738,1.04E-15,3.77412E+12,5.83E-07,Baseline
1-Ethyl-3-methylimidazolium iodide,35935-34-3,0.000391738,5.10E-16,7.67401E+12,5.83E-07,Baseline
Potassium benzoate,582-25-2,0.046930238,9.00E-05,5213.855328,6.98E-05,Baseline
Potassium anilinoacetate,19525-59-8,0.001410258,8.06E-08,174925.5996,2.10E-06,Baseline
"Formic acid, potassium salt",590-29-4,0.001018519,1.78E-09,5720821.983,1.51E-06,Baseline
"Potassium (E,E)-hexa-2,4-dienoate",24634-61-5,0.098012902,6.15E-05,15938.89034,0.000145755,Baseline
Potassium acetate,127-08-2,0.010811975,1.03E-07,1047355.53,1.61E-05,Baseline
Proxan-potassium,140-92-1,0.002820515,1.16E-05,2434.938306,4.19E-06,Baseline
"Potassium 2,4-hexadienoate",590-00-1,0.016844743,1.06E-05,15938.89034,2.50E-05,Baseline
Potassium pentanoate,19455-21-1,0.000705129,2.70E-07,26146.59086,1.05E-06,Baseline
Potassium 2-ethylhexanoate,3164-85-0,0.000391738,3.47E-06,1128.681116,5.83E-07,Baseline
Potassium ethyl xanthate,140-89-6,0.000391738,7.04E-07,5562.502072,5.83E-07,Baseline
"Potassium 1,3-dioxo-1,3-dihydroisoindol-2-ide",1074-82-4,0.005014249,1.23E-05,4075.134955,7.46E-06,Baseline
Benzoyl azide,582-61-6,0.001253562,1.55E-06,8096.988262,1.86E-06,Baseline
Anilino radical,2348-49-4,0.075840519,0.00016537,4586.11458,0.000112782,Baseline
Ammonium thioglycolate,5421-46-5,0.000391738,6.39E-09,612831.666,5.83E-07,Baseline
Ammonium nonanoate,63718-65-0,0.001801996,5.69E-05,316.7655343,2.68E-06,Baseline
"Ammonium O,O-diethyl dithiophosphate",1068-22-0,0,0,7240.139496,0,Baseline
Anilinium nitrate,542-15-4,0.000705129,1.54E-06,4586.11458,1.05E-06,Baseline
1-Ethyl-3-methylimidazolium nitrate,143314-14-1,0.751510594,9.79E-13,7.67401E+12,0.001117571,Baseline
"1,1-Dinitroethene",34238-14-7,0.815598966,0.000206384,39518.46377,0.001212876,Baseline
Dibromonitromethane,598-91-4,0.000156695,5.49E-07,2854.527334,2.33E-07,Baseline
(Dinitromethyl)benzene,611-38-1,0.28722246,0.000772036,3720.324056,0.000427128,Baseline
"Methane, dichloronitro-",7119-89-3,0.038782083,4.58E-05,8473.30595,5.77E-05,Baseline
3-Bromo-4-nitropyridine N-oxide,1678-49-5,0.022407426,5.52E-06,40573.95505,3.33E-05,Baseline
3-Bromo-4-nitropyridine,89364-04-5,0,0,2971.089887,0,Baseline
"1,2-Difluoro-3,4-dinitrobenzene",37583-41-8,0.018881782,6.23E-05,3031.663502,2.81E-05,Baseline
"1-Fluoro-2,3-dinitrobenzene",25376-51-6,0.043482942,0.000345919,1257.026958,6.47E-05,Baseline
"6,7-dinitroquinoxaline",68836-13-5,0.019978649,4.74E-05,4215.055488,2.97E-05,Baseline
Dinitropyrene,78432-19-6,0.017079786,0.007763509,22.0000852,2.54E-05,Baseline
"1,3-difluoro-2,4-dinitrobenzene",2106-41-4,0.026481503,2.92E-05,9069.418498,3.94E-05,Baseline
"Benzene, 1-fluoro-2-nitro-",1493-27-2,0,0,1069.841696,0,Baseline
5-Nitroquinoline,607-34-1,0,0,796.3048972,0,Baseline
4-hydroxy-7-nitrobenzofurazan,22250-54-0,0.000470086,1.29E-08,365730.9854,6.99E-07,Baseline
"3-(2,4-Dinitrophenyl)prop-2-enal",183018-46-4,0.105455928,0.000568032,1856.51499,0.000156823,Baseline
"Benzene, 1,5-difluoro-2,4-dinitro-",327-92-4,0.022172383,3.13E-05,7079.230675,3.30E-05,Baseline
"1,3,5-Trinitrobenzene",99-35-4,0.036510002,0.000141342,2583.098024,5.43E-05,Baseline
"alpha,alpha,alpha-Trifluoro-3,5-dinitrotoluene",401-99-0,0.03823365,0.00112045,341.2348546,5.69E-05,Baseline
"3,5-Dinitrophenyl isocyanate",59776-60-2,0.117599812,0.003195846,367.9770962,0.000174883,Baseline
4-Nitroquinoline-1-oxide,56-57-5,0.066438801,0.000138843,4785.167329,9.88E-05,Baseline
4-Nitrobenzaldehyde,555-16-8,0,0,1351.924079,0,Baseline
1-Fluoro-4-nitrobenzene,350-46-9,0,0,838.173758,0,Baseline
4-Nitroformanilide,16135-31-2,0,0,1721.011065,0,Baseline
5-Nitro-2-furaldehyde,698-63-5,0.00133191,1.11E-06,11973.37538,1.98E-06,Baseline
PUBCHEM_68222265,53204-64-1,7.83E-05,5.16E-08,15185.08503,1.17E-07,Baseline
4-Nitrothiophenol,1849-36-1,0,0,1212.637187,0,Baseline
4-Nitrophthalimide,89-40-7,0.000783476,1.49E-06,5256.514142,1.17E-06,Baseline
4-Nitrophthalic anhydride,5466-84-2,0,0,2082.873199,0,Baseline
"1,8-Dinitropyrene",42397-65-9,0.011595451,0.004590953,25.25717847,1.72E-05,Baseline
5-Nitro-2-mercaptobenzimidazole,6325-91-3,7.83E-05,1.74E-06,449.6415032,1.17E-07,Baseline
"Benzene, 1,2,3-trinitro-",603-13-4,0.050064144,0.000443642,1128.481644,7.45E-05,Baseline
"1,2-Dinitro-3-(trifluoromethyl)benzene",38886-23-6,0.021232211,0.000810444,261.9824592,3.16E-05,Baseline
3-Nitrostyrene,586-39-0,0,0,250.9667898,0,Baseline
Nitrobenzene,98-95-3,0.014024228,0.000161666,867.4793891,2.09E-05,Baseline
"Benzonitrile, o-nitro-",612-24-8,0,0,2082.873199,0,Baseline
"2,2'-Dinitrobiphenyl",2436-96-6,0.022094035,0.00166024,133.0773427,3.29E-05,Baseline
"1,5-Dinitronaphthalene",605-71-0,0.014572662,0.000564287,258.2490501,2.17E-05,Baseline
7-nitrobenzofuran,18761-32-5,0,0,336.1604655,0,Baseline
4-Nitrobenzofurazan,16322-19-3,7.83E-05,4.47E-07,1753.811706,1.17E-07,Baseline
"Pyridine, 4-nitro-",1122-61-8,0.000156695,1.25E-07,12550.48195,2.33E-07,Baseline
"Quinoline, 4-nitro-",3741-15-9,0,0,782.8822674,0,Baseline
3-Nitropyrazole,26621-44-3,0.003447296,1.42E-06,24232.9585,5.13E-06,Baseline
"6-Nitro-1-benzothiophene 1,1-dioxide",19983-44-9,0.000470086,2.17E-06,2165.095452,6.99E-07,Baseline
6-Nitrobenzimidazole,94-52-0,0,0,1169.598515,0,Baseline
"1,3-Dinitronaphthalene",606-37-1,0.014494314,0.000816521,177.5130839,2.16E-05,Baseline
2-Nitrobenzofuran,33094-66-5,0,0,281.6199854,0,Baseline
"3-Imidazolin-2-one, 1-(5-nitro-2-thiazolyl)-",101692-33-5,7.83E-05,3.74E-09,209470.985,1.17E-07,Baseline
5-nitropyrimidine,14080-32-1,0.001018519,1.59E-07,64133.45736,1.51E-06,Baseline
5-nitrothiazole,14527-46-9,0.000626781,2.28E-07,27502.37969,9.32E-07,Baseline
4-Nitroimidazole,3034-38-6,0.002193734,4.05E-07,54126.44319,3.26E-06,Baseline
2-Nitropyrimidine,55133-62-5,0.000705129,1.16E-07,60711.60086,1.05E-06,Baseline
"1H-Imidazole, 2-nitro-",527-73-1,0.001645301,5.63E-07,29232.18964,2.45E-06,Baseline
EF5,152721-37-4,0.000313391,1.56E-06,2004.142426,4.66E-07,Baseline
N-(2-Fluoroethyl)-2-(2-nitro-1H-imidazol-1-yl)acetamide,199800-19-6,0.001488605,4.91E-08,302918.5774,2.21E-06,Baseline
"1H-Imidazole-1-acetic acid, 2-nitro-, 2,3,5,6-tetrafluorophenyl ester",199734-70-8,0.014415966,0.000244344,589.9865032,2.14E-05,Baseline
2-Nitroquinoxaline,117764-57-5,0,0,2434.463805,0,Baseline
3-Nitro-1H-indazole,31164-27-9,0,0,1014.634603,0,Baseline
2-Nitro-N-phenylacetamide,10151-95-8,0.000391738,1.79E-07,21928.64274,5.83E-07,Baseline
.alpha.-Nitrotoluene,622-42-4,0.000235043,8.25E-07,2848.056208,3.50E-07,Baseline
nitro benzoate,6786-32-9,0,0,321.4542636,0,Baseline
4-(2-Nitroxyethyl)piperidine,129999-77-5,7.83E-05,3.31E-08,23637.41587,1.17E-07,Baseline
"1,3-Propanediol, dinitrate (8CI)(9CI)",3457-90-7,0.00133191,1.12E-05,1190.79168,1.98E-06,Baseline
Trolnitrate,7077-34-1,0,0,1770.380827,0,Baseline
Sinitrodil,143248-63-9,0,0,1234.495863,0,Baseline
Ethylene glycol dinitrate,628-96-6,4.686756017,0.016095367,2911.866464,0.006969671,Baseline
"(1,3-Dioxo-1,3-dihydro-2H-isoindol-2-yl)methyl nitrate",208332-52-9,0,0,684.3248055,0,Baseline
Quindoxin,2423-66-7,0,0,402272.803,0,Baseline
4-Chloropyridine 1-oxide,1121-76-2,0,0,146365.6678,0,Baseline
"Pyridine, 1-oxide",694-59-7,0.000548434,8.66E-09,633122.8819,8.16E-07,Baseline
2-Chloropyridine 1-oxide,2402-95-1,0.000156695,6.42E-09,243959.8167,2.33E-07,Baseline
"Quinoxaline, 1-oxide",6935-29-1,0.000548434,1.51E-06,3643.469549,8.16E-07,Baseline
furoxanyl,497-27-8,0.037606869,1.20E-06,312524.5002,5.59E-05,Baseline
"1-Oxo-3,4-dihydro-2H-1lambda~5~-pyrrole",24423-88-9,0.123084147,8.71E-05,14131.828,0.000183038,Baseline
"1-Oxo-1lambda~5~,2,4-benzotriazine",59323-44-3,0.000313391,2.44E-07,12850.46703,4.66E-07,Baseline
Pheniramine maleate,132-20-7,0.000548434,6.78E-06,808.5116373,8.16E-07,Baseline
Dichloroacetate,13425-80-4,0.218903315,1.45E-05,150789.2779,0.000325531,Baseline
Denatonium benzoate,3734-33-6,0.032044186,5.06E-07,633329.3964,4.77E-05,Baseline
"1-Ethyl-2,3-dimethylimidazolium trifluoromethanesulfonate",174899-72-0,0.018019958,3.36E-14,5.37033E+12,2.68E-05,Baseline
1-Butyl-1-methylpyrrolidinium trifluoromethanesulfonate,367522-96-1,0.000313391,1.15E-13,27190096345,4.66E-07,Baseline
1-Butyl-4-methylpyridinium trifluoromethanesulfonate,882172-79-4,0.106161057,9.24E-12,1.14949E+11,0.000157872,Baseline
1-Butyl-3-methylpyridinium trifluoromethanesulfonate,857841-32-8,0.195634065,1.70E-11,1.14949E+11,0.000290927,Baseline
1-Butylpyridinium trifluoromethanesulfonate,390423-43-5,0.097542816,2.10E-12,4.64251E+11,0.000145056,Baseline
1-Hexylpyridinium trifluoromethanesulfonate,623167-81-7,7.83E-05,2.82E-13,2781657120,1.17E-07,Baseline
1-Butyl-3-methylimidazolium trifluoromethanesulfonate,174899-66-2,7.83E-05,9.33E-16,8.39603E+11,1.17E-07,Baseline
"1-Butyl-2,3-dimethylimidazolium trifluoromethanesulfonate",765910-73-4,11.18020869,5.90E-10,1.8936E+11,0.016626078,Baseline
4-Fluorophenoxy,2145-21-3,0.002115386,2.26E-05,935.9677048,3.15E-06,Baseline
Phenoxy,2122-46-5,0.132172474,0.001109955,1190.79168,0.000196554,Baseline
"Methyldioxy, dichloro-",73761-31-6,0.019116825,5.42E-05,3524.365826,2.84E-05,Baseline
"Ethyldioxy, 2,2,2-trifluoro-",147703-38-6,0.035648178,0.000219147,1626.682124,5.30E-05,Baseline
"Methyldioxy, chloro-",73761-32-7,0.022172383,1.85E-05,11973.37538,3.30E-05,Baseline
Tetramethylammonium hydroxide,75-59-2,0.000783476,1.36E-15,5.76577E+12,1.17E-06,Baseline
Benzyltrimethylammonium hydroxide,100-85-6,0.001018519,4.52E-12,2253138635,1.51E-06,Baseline
Tetrapropylammonium hydroxide,4499-86-9,0.000940172,7.01E-12,1342084806,1.40E-06,Baseline
1-Butyl-3-methylimidazolium thiocyanate,344790-87-0,7.83E-05,9.33E-16,8.39603E+11,1.17E-07,Baseline
1-Ethyl-3-methylimidazolium thiocyanate,331717-63-6,0.000391738,5.10E-16,7.67401E+12,5.83E-07,Baseline
Selenophene,288-05-1,0.002820515,1.11E-05,2532.45211,4.19E-06,Baseline
"Naphtho(2,3-c)(1,2,5)selenadiazole",269-20-5,0,0,341.2348546,0,Baseline
Piaselenole,273-15-4,0,0,4127.597605,0,Baseline
"Naphtho[1,2-c][1,2,5]selenadiazole",233-69-2,7.83E-05,2.82E-06,277.5589622,1.17E-07,Baseline
1-Methyl-3-octylimidazolium bromide,61545-99-1,0.000313391,3.90E-05,80.42486645,4.66E-07,Baseline
1-Butyl-3-methylimidazolium bromide,85100-77-2,7.83E-05,1.45E-07,5388.071942,1.17E-07,Baseline
1-Methyl-3-propylimidazolium bromide,85100-76-1,7.83E-05,6.46E-08,12125.09896,1.17E-07,Baseline
"1-Ethyl-2,3-dimethylimidazolium bromide",98892-76-3,0.001958691,1.86E-06,10540.41574,2.91E-06,Baseline
Citalopram hydrobromide,59729-32-7,0,0,1359.468892,0,Baseline
Procarbazine hydrobromide,18969-59-0,0.000470086,9.34E-07,5031.473109,6.99E-07,Baseline
Brallobarbital,561-86-4,0,0,728.1160285,0,Baseline
Tribromoacetaldehyde,115-17-3,0.017706567,0.000778993,227.3008163,2.63E-05,Baseline
"Benzene, 2,2,2-tribromoethoxy-",79080-55-0,0.054921698,0.02117677,25.93487937,8.17E-05,Baseline
Bromoform,75-25-2,0.019821954,0.000499075,397.1742185,2.95E-05,Baseline
Dibromoacetonitrile,3252-43-5,0,0,2207.568876,0,Baseline
Pentabromoacetone,79-49-2,0.043796333,0.017802065,24.60182756,6.51E-05,Baseline
Vinyl bromide,593-60-2,0.00830485,6.97E-05,1190.79168,1.24E-05,Baseline
"1,2,3,4-Tetrabromo-5-phenylbenzene",115245-09-5,0.003290601,0.004480146,7.344852286,4.89E-06,Baseline
BDE-61,446254-32-6,0.014807705,0.031623218,4.682542036,2.20E-05,Baseline
"1,1'-Biphenyl, 2,3,4,5,6-pentabromo-",38421-62-4,0.004230773,0.007589304,5.574651813,6.29E-06,Baseline
"1,2,3,4,5-Pentabromo-6-phenoxybenzene",189084-65-9,0.024522812,0.06643463,3.691269493,3.65E-05,Baseline
BDE-45,446254-21-3,0.014024228,0.02966454,4.727606838,2.09E-05,Baseline
"Dibenzo(b,e)(1,4)dioxin, 1,2,3,4-tetrabromo-",104549-41-9,0.030320538,0.08214122,3.691269493,4.51E-05,Baseline
"5-Bromo-N-(4,5-dihydro-1H-imidazol-2-yl)-6-Quinoxalinamine",59803-98-4,0.000391738,8.68E-08,45125.79881,5.83E-07,Baseline
"2-Bromo-1,4-benzoquinone",3958-82-5,7.83E-05,8.44E-08,9279.002011,1.17E-07,Baseline
BDE-65,446254-36-0,0.017079786,0.036301401,4.704993629,2.54E-05,Baseline
"1,2,4,5-Tetrabromo-3-(2-bromophenoxy)benzene",446254-60-0,0.025462984,0.074894217,3.399859821,3.79E-05,Baseline
"1,2,4-Tribromobenzene",615-54-3,0.016061267,0.005069983,31.67913519,2.39E-05,Baseline
BDE-48,337513-55-0,0.01896013,0.043244274,4.384425482,2.82E-05,Baseline
PBB 030,59080-33-0,0.006111116,0.006425339,9.510963063,9.09E-06,Baseline
"1,1'-Biphenyl, 2,3',4,4',5'-pentabromo-",74114-77-5,0.00665955,0.013617191,4.890545979,9.90E-06,Baseline
"1,1'-Biphenyl, 2,2',4,4',5-pentabromo-",81397-99-1,0.006424507,0.012817982,5.012104537,9.55E-06,Baseline
"1,3,5-Tribromo-2-(2,3-dibromophenoxy)benzene",38463-82-0,0.026324808,0.078363907,3.35930268,3.91E-05,Baseline
"2,2',4,5'-Tetrabromodiphenyl Ether",243982-82-3,0.023504293,0.056875159,4.132611357,3.50E-05,Baseline
BDE-91,446254-58-6,0.066438801,0.203324509,3.267623847,9.88E-05,Baseline
BDE-50,446254-23-5,0.017549872,0.037122106,4.727606838,2.61E-05,Baseline
BDE-104,446254-68-8,0.057663865,0.165541358,3.483350987,8.58E-05,Baseline
"1,3-Dibromo-2-(2,4-dibromophenoxy)benzene",189084-57-9,0.013710838,0.029701935,4.616142925,2.04E-05,Baseline
BDE-102,446254-66-6,0.059230818,0.181265718,3.267623847,8.81E-05,Baseline
"2,3',4,4'-Tetrabromodiphenyl ether",189084-61-5,0.000783476,0.001904341,4.114161434,1.17E-06,Baseline
"1,2,5-Tribromo-3-(2,4-dibromophenoxy)benzene",446254-57-5,0.079366163,0.259278397,3.061040313,0.000118025,Baseline
"2,4,6-Tribromodiphenyl ether",155999-95-4,0.009480065,0.013675291,6.932258097,1.41E-05,Baseline
BDE-62,446254-33-7,0.012535623,0.025757631,4.866760769,1.86E-05,Baseline
"2,2',4-Tribromodiphenyl ether",147217-75-2,0.008148155,0.012367332,6.588450196,1.21E-05,Baseline
"1,3,5-Tribromobenzene",626-39-1,0.013397447,0.004268722,31.38514805,1.99E-05,Baseline
BDE-34,446254-17-7,0.011673799,0.019553081,5.970311711,1.74E-05,Baseline
BDE-73,446254-41-7,0.025776375,0.060707183,4.246017257,3.83E-05,Baseline
BDE-35,147217-80-9,0.009558412,0.016704117,5.72218952,1.42E-05,Baseline
BDE-58,446254-29-1,0.027970109,0.068289107,4.095837512,4.16E-05,Baseline
BDE-23,446254-16-6,0.00799146,0.012609574,6.337612649,1.19E-05,Baseline
BDE-38,337513-54-9,0.010185194,0.016159538,6.302898969,1.51E-05,Baseline
BDE-43,446254-19-9,0.017001439,0.03895627,4.364236728,2.53E-05,Baseline
BDE-76,446254-43-9,0.020997168,0.048111891,4.364236728,3.12E-05,Baseline
BDE-44,446254-20-2,0.022485774,0.052477061,4.284876736,3.34E-05,Baseline
