Compound,CAS,MW,MW_Reference,Expocast,ExpoCast_Reference,Fub,Fub_Reference,Clint,Clint_Reference,pKa_Acceptor,pKa_Acceptor_Reference,pKa_Donor,pKa_Donor_Reference,logKoa,logKoa_Reference,CNS,CNS_Reference,Neutral_Form,Neutral_Form_Reference
1-Methyl-1-propylpyrrolidinium bromide,608140-09-6,208.143,U.S. EPA CompTox Dashboard,2.95E-06,U.S. EPA CompTox Dashboard,0.65,OPERA (0.47),10.71,OPERA (0.54),None,Sipes 2017,None,Sipes 2017,-2.61,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Methyl-1-propylpiperidinium bromide,88840-42-0,222.17,U.S. EPA CompTox Dashboard,8.58E-07,U.S. EPA CompTox Dashboard,0.59,OPERA (0.5),10.83,OPERA (0.55),None,Sipes 2017,None,Sipes 2017,-1.92,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Anisotropine methylbromide,80-50-2,362.352,U.S. EPA CompTox Dashboard,2.38E-07,Wambaugh 2014,0.23,OPERA (0.46),4.03,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,0.44,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Tetrabutylammonium bromide,1643-19-2,322.375,U.S. EPA CompTox Dashboard,9.81E-08,Wambaugh 2014,0.882166667,Paini 2020,0.36,Paini 2020,None,Sipes 2017,None,Sipes 2017,-0.64,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Butylscopolammonium bromide,149-64-4,440.378,U.S. EPA CompTox Dashboard,2.57E-07,Wambaugh 2014,0.6,OPERA (0.42),8.73,OPERA (0.52),None,Sipes 2017,None,Sipes 2017,-1.99,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Butyl-1-methylpyrrolidinium bromide,93457-69-3,222.17,U.S. EPA CompTox Dashboard,1.79E-07,Wambaugh 2014,0.6,OPERA (0.51),11.17,OPERA (0.56),None,Sipes 2017,None,Sipes 2017,-2.32,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Butyl-4-methylpyridinium bromide,65350-59-6,230.149,U.S. EPA CompTox Dashboard,9.5E-05,U.S. EPA CompTox Dashboard,0.39,OPERA (0.3),7.59,OPERA (0.48),None,Sipes 2017,None,Sipes 2017,-2.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Butyl-3-methylpyridinium bromide,26576-85-2,230.149,U.S. EPA CompTox Dashboard,9.38E-05,U.S. EPA CompTox Dashboard,0.53,OPERA (0.36),7.58,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-2.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Butylpyridinium bromide,874-80-6,216.122,U.S. EPA CompTox Dashboard,1.67E-07,Wambaugh 2014,0.51,OPERA (0.32),8.37,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-2.78,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Butyl-2-methylpyridinium bromide,26576-84-1,230.149,U.S. EPA CompTox Dashboard,1.59E-07,Wambaugh 2014,0.21,OPERA (0.41),8.41,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-2.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Tetrabutylphosphonium bromide,3115-68-2,339.342,U.S. EPA CompTox Dashboard,2.1E-07,Wambaugh 2014,0.03,OPERA (0.72),36.68,OPERA (0.44),None,Sipes 2017,None,Sipes 2017,1.07,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Hexylpyridinium bromide,74440-81-6,244.176,U.S. EPA CompTox Dashboard,1.78E-07,Wambaugh 2014,0.03,OPERA (0.72),8.42,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-1.91,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Tetra-N-octylammonium bromide,14866-33-2,546.807,U.S. EPA CompTox Dashboard,3.5E-07,Wambaugh 2014,0.03,OPERA (0.67),13.97,OPERA (0.54),None,Sipes 2017,None,Sipes 2017,6.87,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Tetraoctylphosphonium bromide,23906-97-0,563.774,U.S. EPA CompTox Dashboard,3.83E-07,Wambaugh 2014,0.07,OPERA (0.54),9.51,OPERA (0.34),None,Sipes 2017,None,Sipes 2017,11.76,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Dodecyltrimethylammonium bromide,1119-94-4,308.348,U.S. EPA CompTox Dashboard,3.86E-07,Wambaugh 2014,0.04,OPERA (0.96),16.2,OPERA (0.95),None,Sipes 2017,None,Sipes 2017,0.67,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Benzyldodecyldimethylammonium bromide,7281-04-01,384.446,U.S. EPA CompTox Dashboard,3.94E-07,U.S. EPA CompTox Dashboard,0.16,OPERA (0.58),5.4,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,1.69,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Didodecyldimethylammonium bromide,3282-73-3,462.645,U.S. EPA CompTox Dashboard,3.24E-07,Wambaugh 2014,0.03,OPERA (0.69),15.62,OPERA (0.61),None,Sipes 2017,None,Sipes 2017,4.24,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Domiphen bromide,538-71-6,414.472,U.S. EPA CompTox Dashboard,3.26E-07,Wambaugh 2014,0.11,OPERA (0.57),7.06,OPERA (0.57),None,Sipes 2017,None,Sipes 2017,1.99,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Tetradonium bromide,1119-97-7,336.402,U.S. EPA CompTox Dashboard,6.72E-08,Wambaugh 2014,0.03,OPERA (0.74),17.8,OPERA (0.75),None,Sipes 2017,None,Sipes 2017,2.01,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Tetradecylpyridinium bromide,1155-74-4,356.392,U.S. EPA CompTox Dashboard,2.57E-07,Wambaugh 2014,0.03,OPERA (0.7),13.44,OPERA (0.64),None,Sipes 2017,None,Sipes 2017,1.53,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Trihexyltetradecylphosphonium bromide,654057-97-3,563.774,U.S. EPA CompTox Dashboard,3.16E-07,Wambaugh 2014,0.07,OPERA (0.54),28.8,OPERA (0.49),None,Sipes 2017,None,Sipes 2017,10.26,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Hexadecyltrimethylammonium bromide,57-09-0,364.456,U.S. EPA CompTox Dashboard,6.19E-07,Wambaugh 2014,0.03,OPERA (0.73),18.63,OPERA (0.71),None,Sipes 2017,None,Sipes 2017,2.66,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Ethylhexadecyldimethylammonium bromide,124-03-8,378.483,U.S. EPA CompTox Dashboard,3.18E-07,Wambaugh 2014,0.02,OPERA (0.74),18.84,OPERA (0.7),None,Sipes 2017,None,Sipes 2017,2.33,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Cetylpyridinium bromide,140-72-7,384.446,U.S. EPA CompTox Dashboard,2.48E-07,Wambaugh 2014,0.03,OPERA (0.7),8.83,OPERA (0.56),None,Sipes 2017,None,Sipes 2017,1.7,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Dodecyl-3-methylimidazolium bromide,61546-00-7,331.342,U.S. EPA CompTox Dashboard,1E-05,U.S. EPA CompTox Dashboard,0.03,OPERA (0.72),39.31,OPERA (0.44),None,Sipes 2017,None,Sipes 2017,0.24,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Decyl-3-methylimidazolium bromide,188589-32-4,303.288,U.S. EPA CompTox Dashboard,8.91E-06,U.S. EPA CompTox Dashboard,0.02,OPERA (0.74),40,OPERA (0.43),None,Sipes 2017,None,Sipes 2017,0,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Hexyl-3-methylimidazolium bromide,85100-78-3,247.18,U.S. EPA CompTox Dashboard,1.72E-07,Wambaugh 2014,0.33,OPERA (0.35),41.27,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,-1.85,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
"1-Butyl-2,3-dimethylimidazolium bromide",475575-45-2,233.153,U.S. EPA CompTox Dashboard,1.6E-07,Wambaugh 2014,0.71,OPERA (0.36),0,OPERA (0.39),None,Sipes 2017,None,Sipes 2017,-2.64,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Ethyl-3-methylmidazolium bromide,65039-08-9,191.072,U.S. EPA CompTox Dashboard,0.000253,U.S. EPA CompTox Dashboard,0.94,OPERA (0.68),11.05,OPERA (0.34),None,Sipes 2017,None,Sipes 2017,-3.19,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Aragonite,14791-73-2,102.102,U.S. EPA CompTox Dashboard,1.53E-06,U.S. EPA CompTox Dashboard,1,OPERA (0.97),0.8,OPERA (0.53),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-0.91,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Fosfomycin calcium,26016-98-8,176.121,U.S. EPA CompTox Dashboard,1.19E-07,Wambaugh 2014,0.99,OPERA (0.98),0,OPERA (0.54),None,Sipes 2017,  6.72;  1.78,Sipes 2017,-2.18,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"C.I. Pigment Red 52, calcium salt (1:1)",17852-99-2,458.88,U.S. EPA CompTox Dashboard,4.57E-05,U.S. EPA CompTox Dashboard,0.01,OPERA (0.77),0,OPERA (0.55),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.02,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"C.I. Pigment Red 57, calcium salt (1:1)",5281-04-09,424.44,U.S. EPA CompTox Dashboard,3.73E-06,U.S. EPA CompTox Dashboard,0.01,OPERA (0.78),2.96,OPERA (0.61), -1.86; -5.34,Sipes 2017,  7.69;  3.14;  0.59,Sipes 2017,3.05,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"C.I. Pigment Red 48, calcium salt (1:1)",7023-61-2,458.88,U.S. EPA CompTox Dashboard,7.07E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.77),0,OPERA (0.55),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.96,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Prohexadione-calcium,127277-53-6,250.263,U.S. EPA CompTox Dashboard,5.05E-07,U.S. EPA CompTox Dashboard,0.32,OPERA (0.48),0,OPERA (0.61),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.63,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Glycerol phosphate calcium salt,58409-70-4,210.135,U.S. EPA CompTox Dashboard,1.75E-07,Wambaugh 2014,0.9,OPERA (0.61),0,OPERA (0.39),None,Sipes 2017,  7.63;  2.39,Sipes 2017,-2.39,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Cyclopentadienyl radical,2143-53-5,65.095,U.S. EPA CompTox Dashboard,7.75E-06,U.S. EPA CompTox Dashboard,0.52,OPERA (0.59),6.8,OPERA (0.51),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.79,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Cyclopropyl,2417-82-5,41.073,U.S. EPA CompTox Dashboard,2.91E-06,U.S. EPA CompTox Dashboard,0.78,OPERA (0.62),1.66,OPERA (0.54),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.69,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Cyclobutyl radical,4548-06-05,55.1,U.S. EPA CompTox Dashboard,3.7E-06,U.S. EPA CompTox Dashboard,0.7,OPERA (0.48),1.41,OPERA (0.58),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.26,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Cyclopentyl radical,3889-74-5,69.127,U.S. EPA CompTox Dashboard,2.66E-06,U.S. EPA CompTox Dashboard,0.66,OPERA (0.45),1.66,OPERA (0.54),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.82,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Methylene, phenyl-",3101-08-04,90.125,U.S. EPA CompTox Dashboard,1.53E-05,U.S. EPA CompTox Dashboard,0.3,OPERA (0.98),3.5,OPERA (0.99),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.61,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
But-2-yn-1-yl radical,82252-88-8,53.084,U.S. EPA CompTox Dashboard,4.85E-06,U.S. EPA CompTox Dashboard,0.81,OPERA (0.65),4.08,OPERA (0.64),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.46,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
3-Hydroxybenzyl,155174-22-4,107.132,U.S. EPA CompTox Dashboard,1.32E-05,U.S. EPA CompTox Dashboard,0.36,OPERA (0.99),42.3,OPERA (0.79),#NV,ACD/Labs GALAS,10,ACD/Labs GALAS,1.94,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4-Methylbenzyl radical,2348-52-9,105.16,U.S. EPA CompTox Dashboard,2.15E-05,U.S. EPA CompTox Dashboard,0.23,OPERA (0.75),2.9,OPERA (0.76),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.14,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4-Hydroxybenzyl,88170-17-6,107.132,U.S. EPA CompTox Dashboard,1.92E-05,U.S. EPA CompTox Dashboard,0.33,OPERA (0.97),39.62,OPERA (0.94),#NV,ACD/Labs GALAS,10,ACD/Labs GALAS,1.94,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
3-Methylbenzyl radical,2348-47-2,105.16,U.S. EPA CompTox Dashboard,1.77E-05,U.S. EPA CompTox Dashboard,0.2,OPERA (0.76),4.22,OPERA (0.63),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.14,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Methyl, phenyl-",2154-56-5,91.133,U.S. EPA CompTox Dashboard,1.47E-05,U.S. EPA CompTox Dashboard,0.3,OPERA (0.98),3.5,OPERA (0.99),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.61,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Methylbenzyl radical,2348-48-3,105.16,U.S. EPA CompTox Dashboard,1.37E-05,U.S. EPA CompTox Dashboard,0.23,OPERA (0.75),2.84,OPERA (0.77),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.14,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-OH-benzyl,155174-21-3,107.132,U.S. EPA CompTox Dashboard,1.57E-05,U.S. EPA CompTox Dashboard,0.38,OPERA (0.98),27.62,OPERA (0.91),#NV,ACD/Labs GALAS,10,ACD/Labs GALAS,1.94,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Naphthylmethyl radical,7419-60-5,141.193,U.S. EPA CompTox Dashboard,5.31E-06,U.S. EPA CompTox Dashboard,0.03,OPERA (0.81),11.09,OPERA (0.41),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.93,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
But-3-en-1-yl radical,2154-62-3,55.1,U.S. EPA CompTox Dashboard,3.95E-06,U.S. EPA CompTox Dashboard,0.65,OPERA (0.61),6.5,OPERA (0.56),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.37,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Ethyl, 2-phenyl-",17203-53-1,105.16,U.S. EPA CompTox Dashboard,1.25E-05,U.S. EPA CompTox Dashboard,0.17,OPERA (0.97),2.01,OPERA (0.92),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.21,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Pentyl,2672-01-07,71.143,U.S. EPA CompTox Dashboard,5.27E-06,U.S. EPA CompTox Dashboard,0.43,OPERA (0.47),0.94,OPERA (0.74),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.07,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Hexyl radical,2679-29-0,85.17,U.S. EPA CompTox Dashboard,2.67E-06,U.S. EPA CompTox Dashboard,0.19,OPERA (0.96),1.1,OPERA (0.96),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.64,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Chlorisondamine chloride,69-27-2,429.03,U.S. EPA CompTox Dashboard,2.89E-07,Wambaugh 2014,0.5,OPERA (0.24),5.54,OPERA (0.48),None,Sipes 2017,None,Sipes 2017,-0.2,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
"N,N,N,N',N',N'-Hexamethylhexane-1,6-diaminium dichloride",60-25-3,273.29,U.S. EPA CompTox Dashboard,2.03E-06,U.S. EPA CompTox Dashboard,0.53,OPERA (0.34),13.45,OPERA (0.52),None,Sipes 2017,None,Sipes 2017,-5.68,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Succinylcholine chloride,71-27-2,361.3,U.S. EPA CompTox Dashboard,2.22E-07,Wambaugh 2014,0.7,OPERA (0.96),0,OPERA (0.24),None,Sipes 2017,None,Sipes 2017,-6.77,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Dequalinium dichloride,522-51-0,527.58,U.S. EPA CompTox Dashboard,6.01E-08,Wambaugh 2014,0.04,OPERA (0.69),27.93,OPERA (0.41),  0.83;  0.26,Sipes 2017,None,Sipes 2017,6.28,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Nitroblue tetrazolium dichloride,298-83-9,817.64,U.S. EPA CompTox Dashboard,1.03E-07,Wambaugh 2014,0.02,OPERA (0.69),29.4,OPERA (0.35), -0.71; -1.88; -3.54; -4.75,Sipes 2017,None,Sipes 2017,-2.61,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Cyclohexylamine hydrochloride,4998-76-9,135.64,U.S. EPA CompTox Dashboard,9.06E-08,Wambaugh 2014,0.75,OPERA (0.48),3.42,OPERA (0.41),10.38,Sipes 2017,None,Sipes 2017,1.4,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Benzylquinolinium chloride,15619-48-4,255.75,U.S. EPA CompTox Dashboard,3.44E-08,Wambaugh 2014,0.614333333,Wambaugh 2019,7.276666667,Wambaugh 2019,None,Sipes 2017,None,Sipes 2017,-0.91,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Tetramethylammonium chloride,75-57-0,109.6,U.S. EPA CompTox Dashboard,5.3E-08,Wambaugh 2014,0.81,OPERA (0.54),3.4,OPERA (0.56),None,Sipes 2017,None,Sipes 2017,-3.15,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Betaine hydrochloride,590-46-5,153.61,U.S. EPA CompTox Dashboard,1.56E-07,Wambaugh 2014,0.82,OPERA (0.52),6.35,OPERA (0.45),None,Sipes 2017,3.03,Sipes 2017,-3.25,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
(3-Chloro-2-hydroxypropyl)trimethylammonium chloride,3327-22-8,188.09,U.S. EPA CompTox Dashboard,1.29E-07,Wambaugh 2014,0.71,OPERA (0.48),10.98,OPERA (0.46),None,Sipes 2017,None,Sipes 2017,-3.42,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Benzyltrimethylammonium chloride,56-93-9,185.7,U.S. EPA CompTox Dashboard,6.29E-08,Wambaugh 2014,0.72,OPERA (0.52),3.85,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-1.87,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Glycidyl trimethylammonium chloride,3033-77-0,151.63,U.S. EPA CompTox Dashboard,4.62E-08,Wambaugh 2014,0.581666667,Wambaugh 2019,1,Wambaugh 2019,None,Sipes 2017,None,Sipes 2017,-2.84,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Chlormequat chloride,999-81-5,158.07,U.S. EPA CompTox Dashboard,7.94E-09,Wambaugh 2014,0.64,OPERA (0.38),5.62,OPERA (0.49),None,Sipes 2017,None,Sipes 2017,-3.8,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Choline chloride,67-48-1,139.62,U.S. EPA CompTox Dashboard,6.31E-07,Wambaugh 2014,0.67,OPERA (0.48),8.43,OPERA (0.5),None,Sipes 2017,None,Sipes 2017,-3.7,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
2-(Dimethylamino)ethyl acrylate methochloride,44992-01-0,193.67,U.S. EPA CompTox Dashboard,1.24E-07,Wambaugh 2014,0.85,OPERA (0.54),0,OPERA (0.25),None,Sipes 2017,None,Sipes 2017,-3.63,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Diallyldimethylammonium chloride,7398-69-8,161.67,U.S. EPA CompTox Dashboard,1.16E-07,Wambaugh 2014,0.86,OPERA (0.54),21.08,OPERA (0.65),None,Sipes 2017,None,Sipes 2017,-2.3,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
N-(Chloromethylidene)-N-methylmethanaminium chloride,3724-43-4,128,U.S. EPA CompTox Dashboard,1.32E-07,Wambaugh 2014,0.86,OPERA (0.56),3.88,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-3.38,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"1,1-Dimethylpiperidinium chloride",24307-26-4,149.66,U.S. EPA CompTox Dashboard,8.51E-09,Wambaugh 2014,0.65,OPERA (0.47),0,OPERA (0.64),None,Sipes 2017,None,Sipes 2017,-2.34,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Pralidoxime chloride,51-15-0,172.61,U.S. EPA CompTox Dashboard,1.18E-07,Wambaugh 2014,1,Lombardo 2018,3.82,OPERA (0.5),-4.38,Sipes 2017,7.88,Sipes 2017,-3.04,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Cyperquat chloride,39794-99-5,205.69,U.S. EPA CompTox Dashboard,2.76E-06,U.S. EPA CompTox Dashboard,0.47,OPERA (0.36),0.17,OPERA (0.37),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,-1.35,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Allyl-3-methylimidazolium chloride,65039-10-3,158.63,U.S. EPA CompTox Dashboard,1.32E-07,Wambaugh 2014,0.98,OPERA (0.69),6.89,OPERA (0.54),None,Sipes 2017,None,Sipes 2017,-2.94,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
