Compound,CAS,log_Benchmark_concentration,Activity_level,Concentrations,Responses,Endpoint,Reference,Is_viability
Didodecyldimethylammonium bromide,3282-73-3,1.614791792,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","0.11,0.192,0.104,-2.832,-0.00286,-0.0859,-0.605,-1.056,-0.725,0.533,-1.627,-2.12,-0.473,-0.78,-1.098,-0.153,-1.902,1.432,0.633,-0.993,-1.049,0.286,-1.197,-1.414,-2.28,-1.913,-0.917,-1.824,-0.0701,-3.378,-1.382,-0.227,-0.33,0.338,-2.562,-2.502,-0.446,0.174,0.136,38.688,78.896,36.18,90.334,84.071,84.744",TOX21_AR_LUC_MDAKB2_Antagonist_0.5nM_R1881_viability,U.S. EPA ToxCast M4ID: 34547537,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.480983725,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","2.389,2.668,9.761,-0.79,0.769,1.456,0.9,-0.162,-1.627,2.446,-1.349,0.961,-1.231,-1.532,2.569,0.019,-3.994,1.22,-4.156,10.101,-0.0707,9.848,0.038,-0.633,1.493,2.822,-1.579,-0.983,0.632,12.742,0.0168,-3.021,10.231,-5.164,0.304,-7.876,13.469,0.0847,4.259,93.827,78.251,88.656,97.822,99.239,103.223",TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability,U.S. EPA ToxCast M4ID: 18242844,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.633559345,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","8.78,2.479,1.228,3.808,4.242,1.319,3.982,5.949,2.565,1.116,4.946,11.197,-0.335,4.219,-0.093,1.578,4.358,4.034,4.302,3.376,-6.612,2.097,0.185,0.313,0.587,-0.539,2.586,2.95,0.866,2.506,2.325,2.53,3.369,-0.368,1.139,1.465,1.054,9.801,13.564,44.6,50.873,6.197,91.053,93.847,96.954",TOX21_AhR_LUC_Agonist_viability,U.S. EPA ToxCast M4ID: 18724904,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.320769228,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","-3.702,1.16,-0.201,2.315,8.921,1.288,-7.289,-17.129,-5.057,-0.858,-3.856,-0.0806,-5.964,-3.578,2.752,6.081,3.644,-3.274,0.659,7.043,-6.279,-1.052,-12.788,2.533,1.913,5.374,4.595,0.567,-4.355,5.471,-8.047,-1.535,-2.706,1.99,39.306,27.626,46.16,100.377,95.7",TOX21_Aromatase_Inhibition_viability,U.S. EPA ToxCast M4ID: 30034391,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.546320524,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","5.278,4.564,1.547,0.0584,5.933,1.952,1.21,0.824,2.499,4.435,-0.944,-1.656,0.727,1.59,-0.301,0.648,-1.086,2.773,1.444,0.918,2.577,0.736,-0.478,0.211,1.455,-0.45,0.221,2.79,-1.338,-1.507,-0.739,0.137,1.614,0.573,1.492,-1.186,5.212,7.376,-1.124,77.866,57.071,44.256,85.852,84.722,87.684",TOX21_CAR_Agonist_viabillity,U.S. EPA ToxCast M4ID: 34798937,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.542887642,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","5.268,1.014,2.9,17.122,3.267,4.937,-0.17,10.904,19.456,17.924,1.908,3.727,13.975,4.102,-0.589,2.693,6.218,4.377,1.343,-1.824,16.73,16.216,1.773,1.437,4.44,3.466,1.933,5.253,2.332,-0.693,3.982,-1.172,-1.139,-1.096,0.752,16.743,5.997,-1.807,24.419,102.115,60.28,57.26,101.64,88.083,88.281",TOX21_CAR_Antagonist_viability,U.S. EPA ToxCast M4ID: 34818275,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.289053558,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","0.95,-0.31,-4.644,-0.749,-0.262,-3.321,-6.155,-4.427,1.019,-4.091,3.981,-2.116,-0.9,-2.987,-1.637,-1.987,-6.628,3.518,-6.66,-4.558,-1.678,0.395,2.222,-1.048,-4.436,-4.539,0.323,-3.637,0.53,0.364,-0.225,0.759,-1.974,0.484,3.963,9.391,50.405,24.867,57.132,95.173,99.464,95.432,97.726,102.804,97.673",TOX21_CASP3_CHO_viability,U.S. EPA ToxCast M4ID: 35514488,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.523147924,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","6.598,-3.129,-0.516,0.747,0.239,4.465,2.071,-0.159,-4.401,0.1,-1.615,0.829,6.024,-4.107,1.409,-1.717,-3.905,1.866,-5.398,1.066,0.901,3.245,-2.535,0.696,-1.468,-0.513,0.749,-7.553,-1.775,1.203,-4.349,0.177,-5.357,-1.719,-1.923,-4.697,-3.48,-6.63,2.991,75.436,89.981,19.2,102.444,91.381,93.879",TOX21_CASP3_HEPG2_viability,U.S. EPA ToxCast M4ID: 35501866,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.733413957,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","4.077,2.754,5.492,-3.042,-3.748,1.329,-8.411,9.592,-2.223,0.558,0.196,-0.715,-1.035,8.768,-4.626,3.024,7.628,5.481,10.296,1.085,9.7,2.351,-1.1,5.059,0.844,-0.829,1.002,-0.6,4.684,-0.554,-0.359,3.181,-4.035,-0.693,-30.858,-0.217,-30.04,-11.211,-7.357,1.142,10.365,9.33,91.651,94.212,82.483",TOX21_ELG1_LUC_Agonist_viability,U.S. EPA ToxCast M4ID: 18409972,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.539502653,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","-1.699,13.664,-1.087,-2.292,6.08,0.778,-1.991,7.89,-1.038,-0.0638,-1.679,-1.243,0.107,-3.804,-0.929,-0.219,-0.466,5.868,-0.49,-0.37,-1.477,0.154,-0.468,-1.495,3.146,-0.163,-0.648,1.616,-1.408,-5.638,-1.779,-1.184,-0.237,0.0878,10.515,-0.801,11.195,23.283,",TOX21_ERR_viability,U.S. EPA ToxCast M4ID: 34866623,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.391323327,50,"0.001,0.001,0.001,0.002,0.002,0.002,0.005,0.005,0.005,0.01,0.01,0.01,0.02,0.02,0.02,0.05,0.05,0.05,0.1,0.1,0.1,0.3,0.3,0.3,0.6,0.6,0.6,1,1,1,3,3,3,7,7,7,20,20,20,30,30,30,80,80,80","-8.741,7.038,-7.147,11.632,1.854,2.183,-0.657,-9.658,9.024,-2.328,11.221,-11.902,-0.208,-13.226,0.372,13.279,-14.059,-2.485,10.312,-11.719,-12.293,0.839,-12.591,17.028,0.965,8.767,6.764,6.488,-9.162,-4.724,12.124,21.357,1.661,-3.491,9.346,39.497,21.843,33",TOX21_ERa_BLA_Antagonist_viability,U.S. EPA ToxCast M4ID: 18470442,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.790840874,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","2.682,0.501,1.835,3.894,4.687,2.787,1.746,-0.957,4.853,3.055,1.748,8.488,3.142,0.615,1.295,-2.077,4.235,2.103,0.635,8.123,4.39,1.758,1.72,-0.00878,-1.066,-0.168,5.556,6.813,0.191,1.024,6.549,-1.049,3.103,1.891,3.444,0.72,3.291,2.411,-2.514,9.942,15.212,21.954,82.316,81.516,74.466",TOX21_ERa_LUC_VM7_Agonist_10nM_ICI182780_viability,U.S. EPA ToxCast M4ID: 35427463,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.742371583,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","0.716,2.085,-2.996,6.06,-2.775,-1.235,-3.056,-2.516,0.0784,2.41,8.508,1.357,1.824,0,-3.083,0.602,-1.269,10.876,1.174,2.813,1.988,3.693,1.566,7.459,-0.0712,-3.49,-7.007,3.056,-2.563,5.396,-1.57,2.12,0.325,3.069,-0.639,-0.116,-1.401,-0.973,2.087,7.654,-2.302,32.992,84.227,84.43,84.004",TOX21_ERa_LUC_VM7_Antagonist_0.1nM_E2_viability,U.S. EPA ToxCast M4ID: 34837613,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.822259638,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","0.0279,5.596,-7.654,0.286,7.438,-3.217,0.634,2.846,-1.132,2.817,3.626,1.633,-0.506,1.707,4.755,7.499,3.681,1.272,1.066,-6.825,-1.854,3.056,3.051,-0.823,0.842,-3.072,6.815,4.195,4.084,2.846,4.369,5.755,1.617,2.699,2.178,1.212,2.692,8.222,8.717,9.916,4.353,11.5,88.532,93.79,90.87",TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2_viability,U.S. EPA ToxCast M4ID: 18521756,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.485934264,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","-0.1,-2.21,0.354,-1.586,-10.808,3.869,-0.273,-10.701,5.588,-1.169,-4.834,-2.461,-6.873,-1.935,-8.398,-3.551,-1.68,-2.922,-2.055,-7.713,-6.815,-1.99,-2.276,3.201,-11.758,-2.641,-0.767,-5.03,-6.544,-5.029,-0.599,1.384,-2.298,3.25,-0.641,-1.618,29.572,18.716",TOX21_ERb_BLA_Agonist_viability,U.S. EPA ToxCast M4ID: 35321098,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.478653057,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","-1.78,-19.58,-0.375,-0.0774,7.717,-0.0335,-6.824,-1.255,-2.855,-18.891,-1.497,-5.982,-0.511,-1.989,-5.486,-6.255,-2.721,-5.167,-2.856,-4.044,-1.517,-1.663,-0.76,-5.193,-2.1,-5.868,-2.515,0.837,0.379,-3.692,-4.173,8.073,0.267,-1.11,-0.409,2.418,22.123,40.5",TOX21_ERb_BLA_Antagonist_viability,U.S. EPA ToxCast M4ID: 35282422,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.363480356,50,"0.001,0.001,0.001,0.002,0.002,0.002,0.005,0.005,0.005,0.01,0.01,0.01,0.02,0.02,0.02,0.05,0.05,0.05,0.1,0.1,0.1,0.3,0.3,0.3,0.6,0.6,0.6,1,1,1,3,3,3,7,7,7,20,20,20,30,30,30,80,80,80","1.334,-3.742,27.39,21.533,-10.514,-7.966,0.173,-0.745,-7.716,4.495,4.292,-10.021,18.077,28.76,0.248,9.494,-10.905,-0.954,1.139,20.759,32.933,6.249,-0.0536,9.114,6.47,11.682,30.539,10.41,-4.816,-2.723,-2.244,10.773,-15.067,0.821,-1.143,9.886,25.763,34.922,53.369,52.952,70.656,63.028,98.05,84.53,86.083",TOX21_ESRE_BLA_viability,U.S. EPA ToxCast M4ID: 19348234,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.448999872,50,"0.001,0.001,0.001,0.002,0.002,0.002,0.005,0.005,0.005,0.01,0.01,0.01,0.02,0.02,0.02,0.05,0.05,0.05,0.1,0.1,0.1,0.3,0.3,0.3,0.6,0.6,0.6,1,1,1,3,3,3,7,7,7,20,20,20,30,30,30,80,80,80","19.919,1.497,16.264,-25.275,-27.623,9.392,29.858,11.958,2.221,-2.518,-19.075,24.158,20.441,14.587,-6.179,6.557,3.842,-8.678,0,25.271,6.957,8.435,25.804,-16.979,-4.687,18.495,1.826,-10.241,10.542,3.925,17.786,-1.42,24.818,-5.776,23.733,-2.394,44.352,0.658,12.713,51.28,53.912,54.519,84.326,96.485,93.089",TOX21_FXR_BLA_agonist_viability,U.S. EPA ToxCast M4ID: 18883656,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.522418149,50,"0.001,0.001,0.002,0.002,0.005,0.005,0.01,0.01,0.02,0.02,0.05,0.05,0.1,0.1,0.3,0.3,0.6,0.6,1,1,3,3,7,7,20,20,30,30,80,80","-1.24,-19.327,-33.518,-13.986,4.247,-11.615,-3.114,-16.476,-0.0272,8.099,0.153,-5.252,-11.796,2.181,-5.756,-1.197,-6.877,0,1.805,0,-11.557,2.563,0.239,2.454,-10.649,-1.219,31.499,31.101,110.822,93.147",TOX21_FXR_BLA_antagonist_viability,U.S. EPA ToxCast M4ID: 18898508,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.641860639,50,"0.002,0.002,0.002,0.004,0.004,0.004,0.01,0.01,0.01,0.02,0.02,0.02,0.05,0.05,0.05,0.1,0.1,0.1,0.2,0.2,0.2,0.6,0.6,0.6,1,1,1,3,3,3,6,6,6,10,10,10,30,30,30,70,70,70,200,200,200","3.209,0.143,0.305,6.493,0.714,1.761,-3.976,3.735,1.635,0.955,0.929,3.761,3.512,-0.968,1.392,-2.282,-0.889,0.348,0.84,2.327,0.853,5.493,2.846,0.753,0.863,4.32,0.379,4.672,1.791,0.181,2.133,3.16,26.739,10.991,3.359,-15.678,12.37,-0.0416,50.656,79.129,91.197,83.496,88.317,90.331,91.989",TOX21_H2AX_HTRF_CHO_viability,U.S. EPA ToxCast M4ID: 34876292,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.766331037,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","4.471,-1.073,0.209,1.589,0.616,2.903,5.379,3.213,-3.141,-3.873,4.296,0.525,6.095,5.714,1.248,3.599,-1.34,4.563,-0.762,14.207,4.482,9.197,9.837,0.706,4.164,3.013,1.629,9.675,12.603,3.763,4.008,2.106,7.641,4.352,6.723,10.758,7.246,14.181,8.936,-3.649,5.707,22.374,40.413,38.769,50.214",TOX21_HDAC_Inhibition_viability,U.S. EPA ToxCast M4ID: 34895634,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.419625361,50,"0.001,0.001,0.001,0.002,0.002,0.002,0.005,0.005,0.005,0.01,0.01,0.01,0.02,0.02,0.02,0.05,0.05,0.05,0.1,0.1,0.1,0.3,0.3,0.3,0.6,0.6,0.6,1,1,1,3,3,3,7,7,7,20,20,20,30,30,30,80,80,80","0.614,-4.539,-6.567,-0.473,-0.242,2.1,-7.66,-1.881,-0.0556,-4.041,-1.05,-5.466,1.303,-1.988,24.19,-7.899,-1.796,1.09,-7.331,-3.016,-1.495,-2.741,0.389,-4.812,15.11,0.734,2.203,-2.106,1.497,-9.988,0.0414,24.666,3.021,0.0186,8.621,4.238,27.639,12.433,3.941,77.498,75.39,71.139,100.902,106.464,100.701",TOX21_HRE_BLA_Agonist_viability,U.S. EPA ToxCast M4ID: 34934309,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.459105879,50,"0.001,0.001,0.001,0.002,0.002,0.002,0.005,0.005,0.005,0.01,0.01,0.01,0.02,0.02,0.02,0.05,0.05,0.05,0.1,0.1,0.1,0.3,0.3,0.3,0.6,0.6,0.6,1,1,1,3,3,3,7,7,7,20,20,20,30,30,30,80,80,80","-19.528,7.719,39.825,0.375,7.856,19.444,-0.247,12.006,12.296,22.593,-0.444,-14.482,1.709,2.597,2.596,0.563,13.614,1.361,25.9,23.204,-2.896,-3.122,-29.744,-11.521,2.129,-19.413,4.243,15.368,-5.587,19.942,5.994,-0.712,6.12,1.708,9.642,-15.885,17.594,3.167,0",TOX21_HSE_BLA_agonist_viability,U.S. EPA ToxCast M4ID: 18802966,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.829187946,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,8,8,8,20,20,20,40,40,40,90,90,90","4.531,-0.974,0.529,-2.671,1.627,0.838,0.51,-0.0604,5.045,4.053,0.835,4.208,2.469,0.0682,5.236,0.0925,-0.384,4.413,2.638,6.828,1.407,2.352,3.307,-2.144,0.325,0.493,5.904,7.855,-0.11,6.46,3.058,-0.973,1.945,1.727,0.155,19.121,0.00247,48.891,10.189,1.648,93.387,80.707,91.086",TOX21_MMP_viability,U.S. EPA ToxCast M4ID: 18648452,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.360725916,50,"0.001,0.001,0.001,0.002,0.002,0.002,0.005,0.005,0.005,0.01,0.01,0.01,0.02,0.02,0.02,0.05,0.05,0.05,0.1,0.1,0.1,0.3,0.3,0.3,0.6,0.6,0.6,1,1,1,3,3,3,7,7,7,20,20,20,30,30,30,80,80,80","0.977,0.00772,-8.734,-9.805,-2.996,9.423,-0.967,0,0,-13.99,-23.979,0.276,0,-24.382,2.653,-0.337,0,-13.941,0.782,-1.973,2.162,1.678,-2.58,-2.777,1.218,0.817,-0.893,-5.656,4.548,15.394,4.667,4.963,1.046,3.945,8.389,-3.041,26.008,42.641,31.514,75.695,85.917,81.866,102.53,98.758,98.464",TOX21_NFkB_BLA_agonist_viability,U.S. EPA ToxCast M4ID: 19377372,TRUE
